Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-07-01,Adelaide,8.8,15.7,5.0,1.6,2.6,NW,48.0,SW,W,13.0,15.0,92.0,67.0,1017.4,1017.7,nan,nan,13.5,14.9,Yes,0.8,No
2008-07-02,Adelaide,12.7,15.8,0.8,1.4,7.8,SW,35.0,SSW,SW,13.0,15.0,75.0,52.0,1022.4,1022.6,nan,nan,13.7,15.5,No,0.0,No
2008-07-03,Adelaide,6.2,15.1,0.0,1.8,2.1,W,20.0,NNE,SW,2.0,11.0,81.0,56.0,1027.8,1026.5,nan,nan,9.3,13.9,No,0.0,No
2008-07-04,Adelaide,5.3,15.9,0.0,1.4,8.0,NNE,30.0,NNE,NE,6.0,13.0,71.0,46.0,1028.7,1025.6,nan,nan,10.2,15.3,No,0.0,No
2008-07-06,Adelaide,11.3,15.7,nan,nan,1.5,NNW,52.0,NNE,NNW,15.0,22.0,62.0,62.0,1019.5,1016.2,nan,nan,13.0,14.4,nan,16.2,Yes
2008-07-07,Adelaide,7.6,11.2,16.2,4.6,1.1,WSW,46.0,WNW,SW,17.0,13.0,83.0,88.0,1015.9,1017.9,nan,nan,9.8,9.3,Yes,17.0,Yes
2008-07-08,Adelaide,5.3,13.5,17.0,0.6,2.1,SW,43.0,SW,WSW,11.0,22.0,73.0,91.0,1025.8,1025.9,nan,nan,10.9,10.8,Yes,1.8,Yes
2008-07-09,Adelaide,8.4,14.3,1.8,1.6,0.8,NW,41.0,N,NW,9.0,19.0,90.0,64.0,1025.8,1022.7,nan,nan,10.8,13.5,Yes,9.0,Yes
2008-07-10,Adelaide,9.5,13.1,9.0,1.2,7.2,WSW,52.0,WSW,SW,24.0,20.0,54.0,66.0,1019.8,1019.6,nan,nan,10.9,11.2,Yes,0.2,No
2008-07-13,Adelaide,9.4,16.8,nan,nan,9.1,NNW,54.0,N,NNW,17.0,28.0,67.0,47.0,1011.2,1009.5,nan,nan,11.7,16.5,nan,3.8,Yes
2008-07-14,Adelaide,10.0,15.4,3.8,7.0,0.5,N,48.0,W,W,15.0,19.0,85.0,72.0,1014.0,1015.4,nan,nan,13.2,15.2,Yes,4.0,Yes
2008-07-15,Adelaide,11.1,14.7,4.0,2.8,2.3,WSW,43.0,W,WSW,17.0,24.0,91.0,72.0,1020.4,1020.1,nan,nan,12.0,13.0,Yes,0.2,No
2008-07-16,Adelaide,6.3,14.1,0.2,1.6,3.8,NNW,39.0,NNE,N,7.0,19.0,74.0,52.0,1019.9,1015.3,nan,nan,10.0,13.9,No,0.2,No
2008-07-17,Adelaide,9.8,14.7,0.2,1.6,3.5,NW,44.0,N,NW,17.0,22.0,58.0,61.0,1009.8,1007.4,nan,nan,10.5,14.7,No,1.4,Yes
2008-07-20,Adelaide,9.9,12.0,nan,nan,0.3,N,46.0,N,ENE,26.0,11.0,67.0,91.0,1000.7,1000.4,nan,nan,10.0,9.6,nan,6.8,Yes
