Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01,Bendigo,9.1,21.7,0.0,7.4,nan,W,44.0,WNW,WSW,20.0,20.0,47.0,23.0,1009.1,1007.5,2.0,5.0,14.0,19.4,No,0.0,No
2008-12-02,Bendigo,6.2,23.0,0.0,8.8,nan,W,48.0,WNW,WNW,20.0,26.0,49.0,29.0,1010.4,1007.8,1.0,5.0,15.2,21.2,No,0.0,No
2008-12-03,Bendigo,10.8,23.7,0.0,6.2,nan,WSW,44.0,SW,W,17.0,24.0,49.0,23.0,1009.4,1010.7,5.0,3.0,17.1,21.8,No,0.0,No
2008-12-04,Bendigo,8.2,24.6,0.0,5.8,nan,NNE,41.0,SE,NNE,17.0,13.0,50.0,22.0,1017.0,1012.5,2.0,8.0,16.1,23.6,No,0.2,No
2008-12-05,Bendigo,15.1,30.3,0.2,5.8,nan,NW,54.0,NW,W,19.0,31.0,68.0,29.0,1008.0,1005.0,7.0,1.0,21.3,29.2,No,0.2,No
2008-12-06,Bendigo,9.9,27.2,0.2,9.6,nan,WNW,54.0,WNW,NW,9.0,30.0,60.0,29.0,1010.0,1005.6,1.0,4.0,18.0,26.2,No,0.2,No
2008-12-07,Bendigo,8.0,22.0,0.2,4.4,nan,SW,43.0,SSW,SSW,22.0,15.0,47.0,26.0,1012.4,1010.7,1.0,1.0,13.1,20.4,No,0.0,No
2008-12-08,Bendigo,7.8,25.5,0.0,5.6,nan,W,35.0,S,WSW,11.0,17.0,47.0,17.0,1014.2,1010.6,0.0,1.0,13.9,23.5,No,0.0,No
2008-12-09,Bendigo,9.7,22.0,0.0,6.6,nan,WSW,39.0,SSE,WSW,7.0,17.0,44.0,42.0,1007.0,1006.2,7.0,8.0,16.5,18.9,No,3.2,Yes
2008-12-10,Bendigo,9.8,23.2,3.2,2.0,nan,SE,39.0,SE,S,24.0,17.0,62.0,30.0,1010.4,1009.3,1.0,3.0,15.3,21.6,Yes,0.2,No
2008-12-11,Bendigo,8.7,28.7,0.2,7.2,nan,SSE,43.0,SSE,ESE,22.0,13.0,43.0,13.0,1012.8,1009.7,1.0,2.0,16.8,26.3,No,0.0,No
2008-12-12,Bendigo,16.5,19.9,0.0,7.4,nan,ENE,44.0,NE,ENE,13.0,20.0,57.0,94.0,1007.1,1001.9,8.0,8.0,19.4,16.6,No,30.4,Yes
2008-12-13,Bendigo,14.1,20.2,30.4,0.8,nan,SW,70.0,WNW,SW,13.0,33.0,94.0,68.0,989.5,994.6,8.0,6.0,15.6,18.6,Yes,4.0,Yes
2008-12-14,Bendigo,10.9,21.5,4.0,3.2,nan,S,50.0,SSW,SSW,19.0,28.0,79.0,41.0,1004.7,1005.4,8.0,6.0,14.4,20.8,Yes,0.0,No
2008-12-15,Bendigo,9.9,21.2,0.0,6.4,nan,S,41.0,S,WSW,13.0,19.0,58.0,37.0,1012.7,1011.2,7.0,1.0,11.8,18.8,No,0.0,No
2008-12-16,Bendigo,7.9,23.9,0.0,3.0,nan,W,39.0,W,WNW,13.0,19.0,49.0,41.0,1012.5,1011.2,1.0,6.0,18.3,22.0,No,1.2,Yes
2008-12-17,Bendigo,13.5,22.0,1.2,5.2,nan,N,24.0,SSE,NNE,4.0,11.0,86.0,58.0,1012.5,1008.4,7.0,7.0,14.9,20.9,Yes,10.0,Yes
