Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-07-01,Brisbane,10.3,25.2,0.0,1.4,9.5,WNW,26.0,SSW,W,6.0,15.0,81.0,37.0,1019.6,1014.8,0.0,1.0,14.9,24.6,No,0.0,No
2008-07-02,Brisbane,8.1,22.9,0.0,2.0,9.8,W,30.0,W,WNW,15.0,19.0,41.0,30.0,1018.8,1015.0,0.0,0.0,16.2,22.4,No,0.0,No
2008-07-03,Brisbane,9.7,22.4,0.0,5.8,9.4,E,22.0,SW,E,7.0,15.0,55.0,52.0,1021.4,1019.1,1.0,4.0,15.4,21.3,No,0.8,No
2008-07-04,Brisbane,11.8,20.0,0.8,1.8,1.1,SW,24.0,SW,SSE,9.0,7.0,76.0,53.0,1023.5,1021.7,7.0,7.0,14.1,19.6,No,0.0,No
2008-07-05,Brisbane,12.3,16.7,0.0,2.0,0.3,S,37.0,S,SSW,11.0,7.0,81.0,89.0,1027.3,1026.2,7.0,8.0,16.1,15.0,No,16.2,Yes
2008-07-06,Brisbane,12.6,21.5,16.2,5.2,6.4,ENE,31.0,SSW,E,7.0,17.0,78.0,52.0,1028.5,1025.7,5.0,2.0,15.9,20.0,Yes,0.0,No
2008-07-07,Brisbane,12.9,21.9,0.0,2.4,1.6,NE,17.0,SW,NE,9.0,9.0,83.0,63.0,1026.9,1023.1,7.0,7.0,14.7,20.1,No,24.2,Yes
2008-07-08,Brisbane,14.5,17.4,24.2,2.0,0.6,WSW,31.0,SW,NW,7.0,2.0,94.0,73.0,1024.0,1019.3,8.0,6.0,14.7,17.0,Yes,3.8,Yes
2008-07-09,Brisbane,6.0,16.7,3.8,1.0,nan,W,43.0,WSW,W,13.0,19.0,48.0,34.0,1022.6,1020.2,1.0,1.0,12.4,16.2,Yes,0.2,No
2008-07-10,Brisbane,10.3,19.7,0.2,4.0,10.0,W,39.0,WSW,WSW,17.0,17.0,47.0,34.0,1021.8,1017.0,0.0,1.0,13.2,18.8,No,0.0,No
