Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-07-01,Darwin,20.0,33.1,0.0,4.4,11.0,E,41.0,ENE,SSE,13.0,17.0,81.0,32.0,1016.0,1012.1,1.0,2.0,25.4,32.3,No,0.0,No
2008-07-02,Darwin,19.4,32.4,0.0,6.0,10.4,ENE,50.0,SE,E,15.0,28.0,81.0,17.0,1016.8,1012.4,1.0,1.0,24.3,31.9,No,0.0,No
2008-07-03,Darwin,18.2,31.8,0.0,8.0,11.0,E,46.0,ESE,ENE,22.0,19.0,38.0,24.0,1017.2,1013.0,0.0,1.0,24.3,31.2,No,0.0,No
2008-07-04,Darwin,17.3,30.7,0.0,7.0,10.4,E,44.0,SE,E,22.0,13.0,55.0,16.0,1017.3,1013.6,2.0,6.0,21.3,29.8,No,0.0,No
2008-07-05,Darwin,15.5,30.8,0.0,7.0,10.8,ESE,46.0,E,E,20.0,19.0,37.0,16.0,1016.3,1012.6,1.0,1.0,22.2,29.6,No,0.0,No
2008-07-06,Darwin,16.2,31.9,0.0,7.2,10.7,E,41.0,ESE,SE,11.0,13.0,62.0,18.0,1015.8,1012.2,0.0,0.0,22.8,30.5,No,0.0,No
2008-07-07,Darwin,17.0,32.7,0.0,5.2,7.8,E,48.0,SE,ESE,11.0,22.0,54.0,18.0,1016.7,1013.1,5.0,2.0,23.3,31.5,No,0.0,No
2008-07-08,Darwin,19.6,30.8,0.0,9.2,10.6,ESE,54.0,SE,ESE,20.0,33.0,36.0,12.0,1018.2,1014.6,1.0,0.0,22.3,30.2,No,0.0,No
2008-07-09,Darwin,17.3,29.2,0.0,9.6,10.6,ESE,50.0,SE,ESE,31.0,24.0,26.0,15.0,1019.1,1015.2,1.0,0.0,20.3,28.6,No,0.0,No
2008-07-10,Darwin,17.1,30.3,0.0,9.2,11.1,ESE,48.0,SE,ESE,17.0,13.0,33.0,14.0,1018.3,1013.2,1.0,1.0,19.5,28.8,No,0.0,No
2008-07-11,Darwin,17.7,30.6,0.0,8.0,10.9,E,41.0,ESE,NE,20.0,11.0,21.0,11.0,1015.7,1011.0,1.0,0.0,22.4,30.0,No,0.0,No
2008-07-12,Darwin,14.7,30.9,0.0,7.0,11.0,NE,35.0,E,WSW,13.0,15.0,43.0,40.0,1014.5,1010.6,0.0,1.0,22.2,29.0,No,0.0,No
2008-07-13,Darwin,18.7,31.3,0.0,4.8,10.4,WNW,28.0,SSE,NW,13.0,22.0,75.0,42.0,1015.8,1012.1,0.0,1.0,22.7,29.9,No,0.0,No
2008-07-14,Darwin,18.8,31.0,0.0,4.8,8.9,ENE,33.0,ESE,NNW,7.0,20.0,69.0,56.0,1015.8,1012.1,5.0,6.0,25.3,28.7,No,0.0,No
2008-07-15,Darwin,21.4,33.1,0.0,4.0,11.0,ESE,41.0,SE,NNW,9.0,20.0,64.0,45.0,1014.9,1010.5,1.0,1.0,26.5,30.2,No,0.0,No
2008-07-16,Darwin,18.7,33.5,0.0,7.4,11.0,ESE,41.0,SSE,ESE,15.0,22.0,71.0,32.0,1014.0,1009.7,0.0,0.0,25.1,32.3,No,0.0,No
2008-07-17,Darwin,17.2,33.4,0.0,6.6,11.3,E,43.0,SE,ENE,15.0,20.0,41.0,15.0,1013.7,1009.4,0.0,0.0,24.8,32.7,No,0.0,No
2008-07-18,Darwin,17.6,32.3,0.0,7.6,11.0,N,41.0,ESE,NNE,13.0,24.0,44.0,41.0,1013.4,1010.1,0.0,3.0,25.5,31.3,No,0.0,No
2008-07-19,Darwin,21.4,29.9,0.0,5.4,8.1,WNW,26.0,E,NW,9.0,15.0,61.0,57.0,1013.3,1009.8,2.0,2.0,26.9,29.9,No,0.0,No
2008-07-20,Darwin,21.9,31.4,0.0,4.8,8.4,NW,35.0,S,NW,7.0,22.0,83.0,72.0,1013.6,1010.0,5.0,3.0,25.2,28.3,No,0.0,No
2008-07-21,Darwin,21.4,32.7,0.0,5.4,10.9,SE,41.0,SE,NW,22.0,22.0,70.0,36.0,1012.2,1009.0,0.0,1.0,24.0,30.9,No,0.0,No
2008-07-22,Darwin,22.5,32.5,0.0,7.2,10.0,ESE,52.0,SE,SSE,26.0,19.0,30.0,28.0,1012.8,1009.1,1.0,1.0,24.8,31.8,No,0.0,No
2008-07-23,Darwin,21.4,30.9,0.0,7.6,11.0,SE,52.0,SE,SE,31.0,26.0,30.0,20.0,1014.4,1010.7,0.0,0.0,22.9,30.3,No,0.0,No
2008-07-24,Darwin,17.3,29.1,0.0,10.8,10.5,SE,44.0,SE,S,28.0,15.0,27.0,19.0,1014.5,1010.3,0.0,0.0,20.5,28.3,No,0.0,No
2008-07-25,Darwin,15.9,29.3,0.0,6.6,11.0,ESE,43.0,SE,SSE,24.0,17.0,24.0,13.0,1015.0,1010.8,0.0,0.0,19.5,28.4,No,0.0,No
2008-07-26,Darwin,14.6,30.2,0.0,6.8,11.1,E,41.0,ESE,SE,17.0,15.0,32.0,8.0,1014.4,1010.7,0.0,0.0,19.8,29.7,No,0.0,No
2008-07-27,Darwin,12.5,31.3,0.0,5.6,10.9,NNW,28.0,S,NNW,4.0,19.0,60.0,37.0,1014.9,1011.2,1.0,0.0,21.7,27.4,No,0.0,No
2008-07-28,Darwin,15.5,30.0,0.0,5.0,10.8,N,33.0,E,NW,2.0,20.0,70.0,56.0,1014.6,1011.3,0.0,1.0,23.9,27.9,No,0.0,No
2008-07-29,Darwin,17.4,31.6,0.0,5.6,10.7,E,33.0,SSE,NNW,11.0,19.0,68.0,33.0,1015.0,1010.6,0.0,0.0,24.9,29.5,No,0.0,No
2008-07-30,Darwin,18.9,28.7,0.0,7.6,9.4,NW,35.0,S,NW,7.0,22.0,95.0,54.0,1015.8,1011.7,6.0,1.0,20.6,27.6,No,0.0,No
2008-07-31,Darwin,17.4,30.3,0.0,5.4,8.7,E,33.0,ENE,NNW,17.0,22.0,66.0,54.0,1016.7,1012.6,2.0,6.0,22.9,27.1,No,0.0,No
2008-08-01,Darwin,17.3,32.0,0.0,5.0,10.1,SSE,33.0,SE,N,13.0,28.0,67.0,50.0,1015.5,1011.8,7.0,3.0,23.4,29.5,No,0.0,No
2008-08-02,Darwin,18.1,32.2,0.0,5.6,9.4,E,44.0,E,ESE,15.0,24.0,78.0,23.0,1015.5,1011.2,5.0,5.0,23.7,32.0,No,0.0,No
2008-08-03,Darwin,18.8,34.1,0.0,6.2,11.4,ESE,54.0,ESE,E,17.0,33.0,64.0,11.0,1015.6,1010.9,1.0,3.0,23.1,33.5,No,0.0,No
2008-08-04,Darwin,17.5,34.7,0.0,8.6,10.3,ESE,52.0,S,WNW,11.0,28.0,77.0,45.0,1016.2,1011.8,6.0,5.0,23.3,29.3,No,0.0,No
2008-08-05,Darwin,18.0,33.8,0.0,6.2,10.2,ESE,44.0,nan,NW,0.0,24.0,74.0,62.0,1015.2,1011.3,3.0,1.0,25.2,28.3,No,0.0,No
2008-08-06,Darwin,17.6,32.6,0.0,6.8,11.0,E,46.0,SE,ENE,15.0,24.0,84.0,21.0,1015.7,1011.9,0.0,0.0,23.1,31.8,No,0.0,No
2008-08-07,Darwin,18.4,32.3,0.0,6.4,11.2,ESE,50.0,ESE,E,24.0,24.0,33.0,18.0,1016.3,1012.0,0.0,0.0,22.7,31.3,No,0.0,No
2008-08-08,Darwin,15.9,32.1,0.0,7.6,11.1,ESE,52.0,SE,E,19.0,19.0,nan,13.0,1015.5,1012.0,0.0,0.0,21.4,31.9,No,0.0,No
2008-08-09,Darwin,16.6,31.7,0.0,8.0,10.1,E,41.0,ESE,NW,15.0,24.0,32.0,18.0,1016.0,1011.7,3.0,6.0,21.2,30.7,No,0.0,No
2008-08-10,Darwin,18.1,32.4,0.0,8.0,8.7,E,37.0,SE,E,15.0,17.0,36.0,25.0,1016.1,1011.9,6.0,7.0,22.6,30.9,No,0.0,No
2008-08-11,Darwin,19.2,32.2,0.0,6.4,10.1,ESE,46.0,SE,WNW,26.0,20.0,21.0,15.0,1015.2,1011.6,3.0,3.0,22.4,31.0,No,0.0,No
2008-08-12,Darwin,19.0,31.7,0.0,7.8,10.9,ESE,37.0,SE,WNW,20.0,19.0,21.0,24.0,1015.9,1012.1,4.0,5.0,22.8,30.1,No,0.0,No
2008-08-13,Darwin,19.9,32.7,0.0,7.4,10.3,E,43.0,SE,NW,20.0,26.0,22.0,19.0,1016.5,1012.5,1.0,1.0,22.9,31.7,No,0.0,No
2008-08-14,Darwin,19.8,32.0,0.0,8.0,11.0,NNE,31.0,SE,NNW,20.0,22.0,25.0,27.0,1015.9,1012.2,3.0,5.0,23.4,29.4,No,0.0,No
2008-08-15,Darwin,19.8,33.8,0.0,9.4,8.6,N,41.0,SE,N,24.0,11.0,26.0,13.0,1014.7,1010.4,3.0,3.0,23.8,33.5,No,0.0,No
