Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
12/1/2008,Launceston,9.5,17.9,3.4,15.2,nan,WNW,57,WNW,NW,19,28,53,61,1000.6,1000.7,nan,nan,12.9,14.1,Yes,4,Yes
12/2/2008,Launceston,9.4,18.3,4,6,nan,WNW,46,NW,NW,24,28,60,46,1001.4,1000.5,nan,nan,14.6,17.3,Yes,1,No
12/3/2008,Launceston,9.1,18.4,1,5.8,nan,WSW,50,NW,WNW,17,24,62,37,1002.4,1004.2,nan,nan,13.7,16.5,No,0,No
12/4/2008,Launceston,2.2,19.4,0,6.8,nan,NW,39,N,NW,7,19,56,41,1017.8,1014.6,nan,nan,10.8,18.1,No,4.6,Yes
12/5/2008,Launceston,9.6,19.8,4.6,5.6,nan,NNW,39,SE,NNW,7,11,91,89,1008.7,1004.2,nan,nan,11.2,15.9,Yes,1,No
12/6/2008,Launceston,10.6,19.3,1,nan,nan,N,54,NNW,NNW,24,26,71,70,1003.8,1001.1,nan,nan,16.1,16.8,No,0.4,No
12/7/2008,Launceston,6.7,20.4,0.4,nan,nan,W,37,NNW,WNW,17,17,59,37,1005.5,1005.3,nan,nan,13.4,19.1,No,0,No
12/8/2008,Launceston,4.3,18.8,0,12.6,nan,NW,43,NW,NNW,9,24,63,52,1011.8,1008.8,nan,nan,12,16.9,No,0.8,No
12/9/2008,Launceston,10.7,17.5,0.8,6,nan,NNW,39,NNW,N,13,24,93,63,1005.4,1002.8,nan,nan,12.6,16.3,No,0,No
12/10/2008,Launceston,5,19.7,0,3.6,nan,NNW,37,SSE,NW,15,11,46,27,1013.3,1012,nan,nan,12.9,18.6,No,0,No
12/11/2008,Launceston,7,21.8,0,6.2,nan,NW,37,SE,NNW,7,19,63,41,1017,1014.9,nan,nan,14.7,21,No,0,No
12/12/2008,Launceston,8.3,22.8,0,7,nan,SE,65,SE,NNE,7,19,55,44,1014,1008.7,nan,nan,16.7,22.2,No,13.6,Yes
12/13/2008,Launceston,14.9,15.4,13.6,nan,nan,SSE,74,SSE,SSE,22,39,85,80,997.7,996,nan,nan,15.3,14.5,Yes,15,Yes
12/14/2008,Launceston,12.7,18.6,15,nan,nan,S,56,SSE,SSE,30,28,65,58,1003.6,1005.3,nan,nan,14.9,17.9,Yes,0,No
12/15/2008,Launceston,5.5,19.8,0,12.3,nan,NW,44,W,NNW,4,28,67,62,1008.4,1005.3,nan,nan,12.6,18.4,No,0,No
12/16/2008,Launceston,11.4,19.8,0,5.2,nan,NNW,43,NNW,NNW,15,22,62,77,1006.9,1006.3,nan,nan,16.8,16.1,No,0.2,No
12/17/2008,Launceston,6.2,20.4,0.2,5.2,nan,NNW,33,ESE,NW,11,20,61,49,1010.5,1008.2,nan,nan,14.8,19.3,No,0,No
12/18/2008,Launceston,9.6,19.1,0,5.6,nan,NNW,37,WNW,NW,9,20,58,51,1005.6,1001.3,nan,nan,14.6,17.8,No,2,Yes
12/19/2008,Launceston,10.1,21,2,6.6,nan,S,46,SSE,S,30,19,46,37,1008.5,1011.1,nan,nan,13.7,19.7,Yes,0,No
12/20/2008,Launceston,6.6,22.6,0,nan,nan,NNW,35,NNW,NW,9,17,75,54,1018.9,1016.8,nan,nan,15.2,21.8,No,0,No
12/21/2008,Launceston,11.4,23.4,0,nan,nan,NW,35,NW,NW,11,22,80,51,1019.5,1016.3,nan,nan,15.9,22.3,No,0,No
12/22/2008,Launceston,13.1,26.3,0,18.6,nan,NW,46,NE,NW,4,17,64,62,1009.5,1003.9,nan,nan,18.7,21.4,No,0.2,No
12/23/2008,Launceston,11.1,27.7,0.2,5.2,nan,N,48,SE,S,7,11,63,24,1009.2,1008.6,nan,nan,19.3,26.4,No,0,No
12/24/2008,Launceston,13.1,21.9,0,9.8,nan,NW,41,W,NW,6,17,75,52,1015.3,1011.5,nan,nan,15,19.6,No,1.2,Yes
12/25/2008,Launceston,12.3,24.3,1.2,4,nan,N,39,S,N,7,17,71,33,1013.4,1011.2,nan,nan,15.3,23.7,Yes,0,No
12/26/2008,Launceston,10.4,21.4,0,7.2,nan,NW,41,WNW,NW,11,24,76,67,1011.1,1009.2,nan,nan,15.4,17.4,No,0.2,No
12/27/2008,Launceston,9.4,25.3,0.2,nan,nan,NW,50,SE,NNW,6,28,75,50,1004.6,999.6,nan,nan,15.4,24.2,No,0,No
12/28/2008,Launceston,15.3,21.8,0,nan,nan,NNW,52,NNW,NNW,28,30,74,81,998.1,996,nan,nan,17.3,17.8,No,0.2,No
12/29/2008,Launceston,10.5,20,0.2,15.2,nan,WNW,43,NW,NNW,19,26,52,47,1001.1,1000.6,nan,nan,14.8,19.2,No,6.6,Yes
12/30/2008,Launceston,11.3,22.5,6.6,7.8,nan,NNW,48,NNW,W,13,26,92,45,992.8,991.5,nan,nan,14.3,19.6,Yes,0.2,No
12/31/2008,Launceston,9.2,20.1,0.2,7.4,nan,WNW,44,NW,WNW,13,24,53,37,997.2,996.6,nan,nan,12.8,18.4,No,0,No
1/1/2009,Launceston,12.6,19.6,0,6.2,nan,WNW,54,WNW,WNW,20,24,48,33,994.3,997.1,nan,nan,16,18.5,No,0,No
1/2/2009,Launceston,5.8,19.9,0,8,nan,S,39,SW,SSW,6,19,51,36,1010.7,1012.7,nan,nan,12.7,18,No,0,No
1/3/2009,Launceston,5.5,20.3,0,nan,nan,NNW,35,ENE,NW,2,20,64,50,1018.6,1015.5,nan,nan,10.6,18.5,No,0,No
1/4/2009,Launceston,9.4,22,0,nan,nan,NW,43,WNW,NNW,9,28,66,51,1015.2,1011.8,nan,nan,15.9,20.8,No,0,No
1/5/2009,Launceston,12.5,21.5,0,20.6,nan,N,50,NNW,N,22,28,62,58,1008.5,1004.9,nan,nan,16.1,19.7,No,0,No
1/6/2009,Launceston,16,23.8,0,7.2,nan,NNW,54,NNW,NNW,28,33,68,63,1004.7,1002.4,nan,nan,19.3,22.8,No,0,No
1/7/2009,Launceston,10.3,22.1,0,7.4,nan,NNW,54,NNW,NNW,17,28,72,48,1006.7,1004.1,nan,nan,15.1,20.5,No,0,No
1/8/2009,Launceston,8.5,21.6,0,8,nan,WSW,43,WSW,WSW,17,22,45,29,1011.5,1013.1,nan,nan,13.8,20.1,No,0,No
1/9/2009,Launceston,5.2,22.2,0,8,nan,NW,33,SSE,NNW,11,13,48,38,1021,1018.3,nan,nan,13.7,20.2,No,0,No
1/10/2009,Launceston,11.9,23.8,0,nan,nan,N,39,NW,N,7,22,69,48,1015,1011.2,nan,nan,16.3,21.9,No,0,No
1/11/2009,Launceston,11.2,23.3,0,nan,nan,WNW,44,NNW,NW,6,24,81,36,1010,1007.3,nan,nan,16,22,No,0,No
1/12/2009,Launceston,10.6,26,0,18.6,nan,NW,39,NW,NW,11,20,67,31,1015.8,1015.3,nan,nan,16,24.6,No,0,No
1/13/2009,Launceston,12,24.6,0,8,nan,NW,43,NW,NW,11,24,70,58,1016.2,1011.9,nan,nan,17.3,22.2,No,0,No
1/14/2009,Launceston,13.6,32.7,0,8,nan,NNW,41,N,NW,9,26,67,38,1003.8,1003.4,nan,nan,21.6,30.1,No,0,No
