Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-07-01,Melbourne,9.5,15.4,2.0,2.8,7.0,W,63.0,W,W,37.0,35.0,60.0,38.0,1006.8,1010.3,1.0,7.0,11.0,14.6,Yes,0.6,No
2008-07-02,Melbourne,11.0,14.5,0.6,5.2,4.0,W,63.0,W,WSW,30.0,35.0,66.0,52.0,1013.4,1016.2,7.0,4.0,11.8,13.7,No,1.4,Yes
2008-07-03,Melbourne,8.4,14.1,1.4,2.0,0.8,W,39.0,W,W,17.0,24.0,72.0,58.0,1024.8,1024.3,7.0,7.0,10.6,13.9,Yes,0.6,No
2008-07-04,Melbourne,9.1,14.5,0.6,1.8,4.2,E,19.0,NNW,N,9.0,7.0,87.0,49.0,1030.2,1029.0,7.0,6.0,10.2,13.1,No,0.0,No
2008-07-05,Melbourne,4.3,15.5,0.0,0.8,8.4,N,52.0,N,NNE,24.0,30.0,81.0,52.0,1028.9,1024.9,2.0,5.0,5.5,14.6,No,0.0,No
2008-07-06,Melbourne,5.5,15.4,0.0,2.8,3.0,N,74.0,N,NNW,31.0,44.0,68.0,48.0,1023.1,1020.1,6.0,6.0,11.6,14.6,No,0.0,No
2008-07-07,Melbourne,11.5,14.3,0.0,3.0,1.0,NNE,57.0,N,N,28.0,22.0,73.0,63.0,1016.3,1012.9,8.0,7.0,12.2,13.3,No,5.0,Yes
2008-07-08,Melbourne,6.9,10.4,5.0,1.2,0.3,N,37.0,N,N,13.0,11.0,80.0,71.0,1017.1,1017.0,8.0,7.0,7.3,10.3,Yes,1.2,Yes
2008-07-09,Melbourne,3.6,14.8,1.2,0.4,6.5,N,35.0,N,WSW,11.0,17.0,95.0,61.0,1023.1,1019.6,1.0,7.0,4.2,13.1,Yes,3.0,Yes
2008-07-10,Melbourne,4.2,13.5,3.0,2.2,7.0,WNW,69.0,N,WNW,15.0,46.0,87.0,33.0,1009.4,1006.7,6.0,3.0,9.0,12.2,Yes,0.2,No
2008-07-11,Melbourne,7.4,13.5,0.2,1.8,5.6,WSW,52.0,W,WSW,26.0,26.0,71.0,56.0,1016.3,1018.5,3.0,6.0,9.2,13.0,No,0.0,No
