Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01,MelbourneAirport,11.2,19.9,0.0,5.6,8.8,SW,69.0,W,SW,33.0,43.0,55.0,37.0,1005.1,1006.4,7.0,7.0,15.9,18.1,No,1.2,Yes
2009-01-02,MelbourneAirport,7.8,17.8,1.2,7.2,12.9,SSE,56.0,SW,SSE,31.0,26.0,50.0,43.0,1018.0,1019.3,6.0,7.0,12.5,15.8,Yes,0.0,No
2009-01-03,MelbourneAirport,6.3,21.1,0.0,6.2,10.5,SSE,31.0,E,S,13.0,19.0,51.0,35.0,1020.8,1017.6,1.0,7.0,13.4,19.6,No,0.0,No
2009-01-04,MelbourneAirport,8.1,29.2,0.0,6.4,12.5,SSE,35.0,NE,SSE,2.0,20.0,67.0,23.0,1016.2,1012.8,5.0,4.0,16.0,28.2,No,0.0,No
2009-01-05,MelbourneAirport,9.7,29.0,0.0,7.4,12.3,SE,33.0,SW,SSE,9.0,20.0,51.0,31.0,1011.9,1010.3,6.0,2.0,19.4,27.1,No,0.0,No
2009-01-06,MelbourneAirport,13.5,31.7,0.0,7.2,13.7,SSE,50.0,NNE,S,11.0,28.0,50.0,34.0,1010.7,1007.7,0.0,1.0,21.3,29.8,No,0.2,No
2009-01-07,MelbourneAirport,15.8,21.4,0.2,8.8,4.4,S,46.0,SSW,SSE,17.0,28.0,98.0,67.0,1010.0,1009.9,8.0,7.0,16.0,19.9,No,0.2,No
2009-01-08,MelbourneAirport,9.7,18.4,0.2,5.2,11.5,SE,56.0,SSW,SSE,28.0,35.0,51.0,42.0,1017.4,1018.9,2.0,5.0,14.5,17.7,No,0.0,No
2009-01-09,MelbourneAirport,10.2,19.7,0.0,5.6,12.6,S,43.0,SSE,S,19.0,28.0,51.0,42.0,1021.4,1018.0,2.0,7.0,14.2,19.3,No,0.0,No
2009-01-10,MelbourneAirport,10.7,23.6,0.0,7.2,10.2,S,43.0,WSW,S,7.0,24.0,76.0,46.0,1013.8,1010.3,7.0,1.0,14.5,21.8,No,0.0,No
2009-01-11,MelbourneAirport,10.7,23.5,0.0,6.6,10.2,S,41.0,SW,SSE,9.0,17.0,77.0,52.0,1012.0,1009.7,8.0,1.0,14.8,23.0,No,0.0,No
2009-01-12,MelbourneAirport,10.4,25.1,0.0,5.2,7.8,SSE,26.0,SSW,SE,11.0,17.0,73.0,47.0,1018.6,1017.4,8.0,5.0,15.3,22.4,No,0.0,No
2009-01-13,MelbourneAirport,11.5,37.1,0.0,6.8,13.5,N,52.0,N,NNW,35.0,22.0,39.0,12.0,1013.8,1010.0,0.0,0.0,25.0,35.1,No,0.0,No
2009-01-14,MelbourneAirport,24.9,33.5,0.0,18.6,12.3,N,57.0,N,S,35.0,24.0,12.0,45.0,1007.5,1009.4,3.0,4.0,31.2,24.8,No,0.0,No
2009-01-15,MelbourneAirport,13.8,23.1,0.0,9.2,10.1,SW,44.0,SW,SE,28.0,22.0,56.0,44.0,1015.8,1014.5,7.0,5.0,16.5,21.4,No,0.0,No
2009-01-16,MelbourneAirport,12.7,21.6,0.0,8.6,9.9,WSW,61.0,SW,S,28.0,28.0,59.0,33.0,1017.4,1018.4,7.0,6.0,15.5,19.8,No,0.0,No
