Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01,Mildura,13.8,27.4,0.0,9.6,12.6,SSW,56.0,SW,WSW,17.0,31.0,51.0,24.0,1009.8,1008.5,6.0,1.0,19.2,26.0,No,0.0,No
2009-01-02,Mildura,8.9,24.8,0.0,12.4,13.3,S,39.0,SSE,SSE,24.0,15.0,39.0,21.0,1019.8,1017.7,0.0,nan,14.1,23.3,No,0.0,No
2009-01-03,Mildura,10.6,28.6,0.0,9.2,13.6,ESE,30.0,E,SW,20.0,9.0,39.0,18.0,1019.2,1016.0,0.0,1.0,17.0,27.1,No,0.0,No
2009-01-04,Mildura,13.2,34.5,0.0,8.8,13.5,NNW,26.0,E,NW,9.0,17.0,24.0,9.0,1014.2,1012.1,2.0,2.0,24.1,32.8,No,0.0,No
2009-01-05,Mildura,16.5,37.3,0.0,10.4,13.4,WSW,37.0,SSE,WNW,11.0,13.0,37.0,7.0,1013.7,1010.8,1.0,1.0,23.7,35.6,No,0.0,No
2009-01-06,Mildura,15.7,39.2,0.0,13.4,13.4,W,37.0,SSE,W,9.0,15.0,34.0,6.0,1011.8,1007.7,0.0,0.0,23.3,37.8,No,0.0,No
2009-01-07,Mildura,17.0,32.3,0.0,12.6,13.1,WSW,48.0,SSW,SW,11.0,26.0,67.0,22.0,1010.0,1008.7,3.0,1.0,19.9,31.5,No,0.0,No
2009-01-08,Mildura,12.9,27.3,0.0,13.6,12.5,SSE,46.0,SSE,SSW,24.0,17.0,50.0,20.0,1018.3,1017.0,0.0,1.0,16.1,24.7,No,0.0,No
2009-01-09,Mildura,12.3,27.8,0.0,11.2,7.8,SE,35.0,SE,ESE,20.0,17.0,43.0,14.0,1019.1,1014.8,2.0,7.0,15.7,26.4,No,0.0,No
2009-01-10,Mildura,12.7,32.2,0.0,8.4,11.6,SW,52.0,SSE,SE,13.0,11.0,35.0,11.0,1010.9,1008.0,7.0,1.0,19.1,30.4,No,0.0,No
2009-01-11,Mildura,15.4,33.4,0.0,11.6,11.8,WSW,56.0,SW,SW,11.0,17.0,53.0,14.0,1010.0,1008.9,7.0,1.0,18.5,32.0,No,0.0,No
