Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01,MountGinini,5.2,13.0,0.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0.4,No
2008-12-02,MountGinini,3.0,15.0,0.4,nan,nan,nan,nan,W,WNW,26.0,24.0,66.0,51.0,nan,nan,nan,nan,7.1,14.2,No,0.0,No
2008-12-03,MountGinini,6.0,15.0,0.0,nan,nan,nan,nan,W,W,33.0,30.0,58.0,50.0,nan,nan,nan,nan,9.8,14.2,No,0.0,No
2008-12-04,MountGinini,2.0,15.0,0.0,nan,nan,nan,nan,NNE,N,11.0,15.0,82.0,52.0,nan,nan,nan,nan,6.9,13.4,No,3.0,Yes
2008-12-05,MountGinini,8.0,17.8,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,0.4,No
2008-12-06,MountGinini,9.4,17.0,0.4,nan,nan,nan,nan,nan,W,nan,30.0,nan,45.0,nan,nan,nan,nan,nan,14.8,No,0.0,No
2008-12-07,MountGinini,6.0,16.0,0.0,nan,nan,nan,nan,WSW,W,30.0,24.0,72.0,30.0,nan,nan,nan,nan,9.5,15.5,No,0.0,No
2008-12-08,MountGinini,1.7,16.0,0.0,nan,nan,nan,nan,nan,W,nan,22.0,nan,45.0,nan,nan,nan,nan,nan,14.2,No,0.0,No
2008-12-09,MountGinini,6.0,17.9,0.0,nan,nan,nan,nan,W,W,22.0,17.0,43.0,33.0,nan,nan,nan,nan,11.0,17.2,No,2.0,Yes
2008-12-10,MountGinini,6.5,17.8,2.0,nan,nan,nan,nan,nan,NW,nan,13.0,nan,64.0,nan,nan,nan,nan,nan,15.0,Yes,0.6,No
2008-12-11,MountGinini,5.6,13.1,0.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,5.0,Yes
2008-12-12,MountGinini,4.9,14.0,5.0,nan,nan,nan,nan,nan,ENE,nan,26.0,nan,nan,nan,nan,nan,nan,nan,7.9,Yes,46.0,Yes
2008-12-13,MountGinini,6.0,13.8,46.0,nan,nan,nan,nan,WNW,nan,37.0,nan,100.0,nan,nan,nan,nan,nan,9.1,nan,Yes,9.0,Yes
2008-12-14,MountGinini,2.8,8.0,9.0,nan,nan,nan,nan,nan,WSW,nan,24.0,nan,100.0,nan,nan,nan,nan,nan,5.5,Yes,0.0,No
2008-12-15,MountGinini,1.0,15.0,0.0,nan,nan,nan,nan,S,WSW,11.0,20.0,94.0,68.0,nan,nan,nan,nan,5.5,13.5,No,0.0,No
