Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01,Newcastle,13.2,nan,0.0,nan,nan,nan,nan,NW,NW,6.0,19.0,50.0,24.0,nan,nan,3.0,4.0,21.8,30.6,No,0.0,No
2008-12-02,Newcastle,nan,32.2,0.0,nan,nan,nan,nan,nan,NE,nan,19.0,nan,59.0,nan,nan,nan,0.0,nan,25.4,No,0.0,No
2008-12-03,Newcastle,16.2,32.2,0.0,nan,nan,nan,nan,N,SE,2.0,2.0,74.0,26.0,nan,nan,4.0,4.0,22.2,32.0,No,0.0,No
2008-12-04,Newcastle,19.2,24.0,0.0,nan,nan,nan,nan,SE,SE,22.0,22.0,66.0,61.0,nan,nan,7.0,5.0,20.4,23.0,No,0.0,No
2008-12-05,Newcastle,18.8,30.2,0.0,nan,nan,nan,nan,NE,nan,4.0,nan,85.0,nan,nan,nan,8.0,nan,20.0,nan,No,0.0,No
2008-12-06,Newcastle,19.8,34.2,0.0,nan,nan,nan,nan,NW,NW,4.0,7.0,56.0,39.0,nan,nan,6.0,7.0,29.2,31.8,No,0.0,No
2008-12-07,Newcastle,19.4,27.8,0.0,nan,nan,nan,nan,nan,SE,0.0,6.0,91.0,39.0,nan,nan,8.0,4.0,20.8,27.0,No,0.0,No
2008-12-08,Newcastle,nan,26.2,0.0,nan,nan,nan,nan,nan,NE,nan,22.0,nan,71.0,nan,nan,nan,7.0,nan,22.2,No,0.0,No
2008-12-09,Newcastle,15.6,29.4,0.0,nan,nan,nan,nan,NE,NW,4.0,19.0,78.0,53.0,nan,nan,1.0,3.0,21.2,28.2,No,0.0,No
2008-12-10,Newcastle,19.2,26.4,0.0,nan,nan,nan,nan,SE,nan,22.0,nan,63.0,nan,nan,nan,0.0,nan,25.8,nan,No,0.0,No
2008-12-11,Newcastle,19.4,21.4,0.0,nan,nan,nan,nan,NE,SE,2.0,9.0,83.0,72.0,nan,nan,8.0,8.0,19.6,20.0,No,0.4,No
2008-12-12,Newcastle,18.0,22.4,0.4,nan,nan,nan,nan,NE,NE,4.0,9.0,87.0,96.0,nan,nan,8.0,8.0,18.8,18.8,No,29.8,Yes
2008-12-13,Newcastle,18.2,31.6,29.8,nan,nan,nan,nan,nan,NW,0.0,50.0,95.0,51.0,nan,nan,8.0,7.0,22.2,28.8,Yes,1.0,No
2008-12-14,Newcastle,18.2,27.2,1.0,nan,nan,nan,nan,SW,NW,19.0,46.0,55.0,39.0,nan,nan,3.0,3.0,22.0,25.4,No,0.0,No
2008-12-15,Newcastle,16.6,22.8,0.0,nan,nan,nan,nan,S,SE,9.0,28.0,42.0,49.0,nan,nan,4.0,1.0,20.4,21.8,No,0.0,No
2008-12-16,Newcastle,11.6,27.0,0.0,nan,nan,nan,nan,nan,NE,0.0,4.0,72.0,51.0,nan,nan,0.0,1.0,18.8,26.0,No,0.0,No
2008-12-17,Newcastle,14.4,29.0,0.0,nan,nan,nan,nan,nan,SE,0.0,7.0,51.0,44.0,nan,nan,2.0,1.0,23.2,28.2,No,0.0,No
2008-12-18,Newcastle,17.6,34.0,0.0,nan,nan,nan,nan,SE,SE,4.0,56.0,91.0,34.0,nan,nan,2.0,7.0,20.0,31.0,No,1.2,Yes
2008-12-19,Newcastle,18.0,26.6,1.2,nan,nan,nan,nan,nan,SE,0.0,46.0,71.0,98.0,nan,nan,1.0,2.0,22.4,23.0,Yes,0.0,No
2008-12-20,Newcastle,17.6,21.6,0.0,nan,nan,nan,nan,S,SE,19.0,9.0,96.0,96.0,nan,nan,6.0,5.0,19.4,20.8,No,0.0,No
2008-12-21,Newcastle,12.6,24.2,0.0,nan,nan,nan,nan,SE,SE,4.0,19.0,96.0,98.0,nan,nan,3.0,2.0,20.0,23.6,No,0.0,No
2008-12-22,Newcastle,15.2,26.4,0.0,nan,nan,nan,nan,NE,NE,7.0,19.0,100.0,49.0,nan,nan,1.0,1.0,20.6,25.4,No,0.0,No
2008-12-23,Newcastle,16.0,31.0,0.0,nan,nan,nan,nan,NW,nan,4.0,0.0,62.0,42.0,nan,nan,6.0,8.0,21.6,29.0,No,2.0,Yes
2008-12-24,Newcastle,18.8,nan,2.0,nan,nan,nan,nan,SE,SE,9.0,9.0,81.0,73.0,nan,nan,8.0,8.0,20.2,21.0,Yes,0.0,No
2008-12-25,Newcastle,nan,25.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0.0,No
2008-12-26,Newcastle,19.2,29.4,0.0,nan,nan,nan,nan,NE,SE,4.0,11.0,87.0,63.0,nan,nan,6.0,1.0,21.8,29.0,No,0.0,No
2008-12-27,Newcastle,19.2,30.6,0.0,nan,nan,nan,nan,NE,NE,4.0,19.0,88.0,51.0,nan,nan,8.0,8.0,23.4,30.4,No,0.0,No
2008-12-28,Newcastle,18.6,31.2,0.0,nan,nan,nan,nan,NW,nan,4.0,nan,74.0,nan,nan,nan,1.0,nan,23.8,nan,No,0.0,No
2008-12-29,Newcastle,20.2,28.8,0.0,nan,nan,nan,nan,NW,SW,2.0,19.0,57.0,80.0,nan,nan,7.0,6.0,28.0,21.6,No,10.6,Yes
2008-12-30,Newcastle,19.2,33.4,10.6,nan,nan,nan,nan,nan,NW,0.0,7.0,77.0,36.0,nan,nan,5.0,4.0,22.0,30.8,Yes,0.0,No
2008-12-31,Newcastle,15.4,33.4,0.0,nan,nan,nan,nan,nan,NW,0.0,15.0,50.0,23.0,nan,nan,0.0,0.0,23.8,32.2,No,0.0,No
2009-01-01,Newcastle,15.2,32.8,0.0,nan,nan,nan,nan,N,NW,4.0,9.0,71.0,47.0,nan,nan,1.0,6.0,22.8,28.0,No,0.0,No
2009-01-02,Newcastle,19.2,25.6,0.0,nan,nan,nan,nan,nan,SE,0.0,11.0,65.0,52.0,nan,nan,4.0,1.0,21.2,24.8,No,0.8,No
2009-01-03,Newcastle,16.4,22.6,0.8,nan,nan,nan,nan,SE,NE,4.0,4.0,64.0,60.0,nan,nan,8.0,8.0,19.6,22.2,No,0.0,No
2009-01-04,Newcastle,17.8,28.8,0.0,nan,nan,nan,nan,NE,SE,4.0,37.0,67.0,53.0,nan,nan,0.0,0.0,21.6,27.0,No,0.0,No
2009-01-05,Newcastle,16.8,36.0,0.0,nan,nan,nan,nan,NE,SE,7.0,4.0,69.0,40.0,nan,nan,1.0,2.0,22.2,34.4,No,0.0,No
2009-01-06,Newcastle,19.6,31.8,0.0,nan,nan,nan,nan,SE,SE,4.0,4.0,55.0,65.0,nan,nan,0.0,1.0,28.0,26.8,No,0.0,No
2009-01-07,Newcastle,21.2,34.8,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,77.0,57.0,nan,nan,2.0,8.0,24.2,30.6,No,0.0,No
2009-01-08,Newcastle,21.2,23.8,0.0,nan,nan,nan,nan,SE,SE,11.0,15.0,74.0,77.0,nan,nan,8.0,8.0,22.4,21.6,No,2.4,Yes
2009-01-09,Newcastle,16.8,22.6,2.4,nan,nan,nan,nan,SE,SE,19.0,28.0,61.0,48.0,nan,nan,8.0,6.0,19.0,22.2,Yes,0.2,No
2009-01-10,Newcastle,15.4,25.4,0.2,nan,nan,nan,nan,SE,N,7.0,28.0,58.0,45.0,nan,nan,7.0,5.0,21.6,24.4,No,0.0,No
2009-01-11,Newcastle,17.4,27.6,0.0,nan,nan,nan,nan,NE,SE,6.0,46.0,59.0,74.0,nan,nan,1.0,1.0,22.6,22.6,No,0.0,No
2009-01-12,Newcastle,18.4,28.2,0.0,nan,nan,nan,nan,nan,SE,0.0,19.0,70.0,46.0,nan,nan,0.0,1.0,23.4,27.6,No,0.0,No
2009-01-13,Newcastle,19.2,28.4,0.0,nan,nan,nan,nan,NE,SE,4.0,28.0,65.0,56.0,nan,nan,2.0,5.0,24.6,27.6,No,0.0,No
2009-01-14,Newcastle,18.6,35.2,0.0,nan,nan,nan,nan,NE,NE,4.0,22.0,74.0,35.0,nan,nan,0.0,0.0,23.0,34.4,No,0.0,No
2009-01-15,Newcastle,19.0,40.6,0.0,nan,nan,nan,nan,N,NW,4.0,7.0,54.0,17.0,nan,nan,0.0,1.0,26.6,40.2,No,6.6,Yes
2009-01-16,Newcastle,19.6,27.0,6.6,nan,nan,nan,nan,NE,SE,4.0,7.0,80.0,60.0,nan,nan,8.0,1.0,20.6,25.8,Yes,1.6,Yes
2009-01-17,Newcastle,17.4,22.0,1.6,nan,nan,nan,nan,SE,SE,19.0,22.0,61.0,53.0,nan,nan,7.0,7.0,19.0,20.0,Yes,0.0,No
2009-01-18,Newcastle,12.2,25.0,0.0,nan,nan,nan,nan,nan,SE,0.0,11.0,69.0,47.0,nan,nan,1.0,1.0,19.6,23.8,No,0.0,No
2009-01-19,Newcastle,15.4,28.6,0.0,nan,nan,nan,nan,NE,SE,4.0,19.0,66.0,48.0,nan,nan,5.0,6.0,20.6,26.8,No,0.0,No
2009-01-20,Newcastle,15.5,35.0,0.0,nan,nan,nan,nan,NW,NW,4.0,4.0,69.0,35.0,nan,nan,0.0,2.0,22.4,33.2,No,0.0,No
2009-01-21,Newcastle,22.0,38.2,0.0,nan,nan,nan,nan,nan,NW,0.0,28.0,63.0,26.0,nan,nan,5.0,6.0,26.4,37.8,No,0.0,No
2009-01-22,Newcastle,22.2,28.8,0.0,nan,nan,nan,nan,NE,NW,4.0,19.0,72.0,71.0,nan,nan,8.0,8.0,25.4,26.6,No,2.0,Yes
2009-01-23,Newcastle,21.8,35.4,2.0,nan,nan,nan,nan,NW,NE,4.0,11.0,63.0,46.0,nan,nan,1.0,5.0,28.0,33.6,Yes,0.0,No
2009-01-24,Newcastle,23.6,40.0,0.0,nan,nan,nan,nan,NW,NW,9.0,9.0,53.0,35.0,nan,nan,0.0,6.0,30.6,38.2,No,2.4,Yes
2009-01-25,Newcastle,18.8,24.0,2.4,nan,nan,nan,nan,SE,SE,11.0,22.0,65.0,65.0,nan,nan,8.0,8.0,21.4,23.2,Yes,0.0,No
2009-01-26,Newcastle,19.2,26.4,0.0,nan,nan,nan,nan,nan,SE,0.0,9.0,92.0,81.0,nan,nan,8.0,8.0,20.6,25.4,No,0.0,No
2009-01-27,Newcastle,20.6,29.0,0.0,nan,nan,nan,nan,NE,SE,7.0,28.0,83.0,70.0,nan,nan,7.0,6.0,24.4,27.4,No,0.0,No
2009-01-28,Newcastle,20.2,30.8,0.0,nan,nan,nan,nan,NE,NE,4.0,19.0,81.0,51.0,nan,nan,6.0,1.0,24.0,29.8,No,0.0,No
2009-01-29,Newcastle,20.2,32.0,0.0,nan,nan,nan,nan,N,NE,19.0,22.0,80.0,59.0,nan,nan,3.0,1.0,24.0,30.4,No,0.0,No
2009-01-30,Newcastle,19.8,32.2,0.0,nan,nan,nan,nan,NE,NE,4.0,28.0,67.0,51.0,nan,nan,0.0,1.0,24.0,30.4,No,0.0,No
2009-01-31,Newcastle,20.6,34.8,0.0,nan,nan,nan,nan,NW,NW,4.0,15.0,67.0,26.0,nan,nan,1.0,2.0,25.2,34.4,No,0.0,No
2009-02-01,Newcastle,19.6,31.4,0.0,nan,nan,nan,nan,nan,SE,0.0,28.0,75.0,53.0,nan,nan,0.0,0.0,23.6,30.2,No,0.0,No
2009-02-02,Newcastle,20.6,31.0,0.0,nan,nan,nan,nan,NE,NE,4.0,28.0,74.0,52.0,nan,nan,3.0,3.0,25.4,29.4,No,0.0,No
2009-02-03,Newcastle,19.6,31.8,0.0,nan,nan,nan,nan,N,SE,4.0,11.0,74.0,51.0,nan,nan,3.0,3.0,23.0,31.5,No,0.0,No
2009-02-04,Newcastle,21.4,31.0,0.0,nan,nan,nan,nan,SE,SE,4.0,7.0,76.0,62.0,nan,nan,6.0,1.0,25.0,29.4,No,0.0,No
2009-02-05,Newcastle,21.0,34.2,0.0,nan,nan,nan,nan,NE,SE,4.0,7.0,74.0,47.0,nan,nan,0.0,0.0,24.8,33.0,No,0.0,No
2009-02-06,Newcastle,21.4,35.0,0.0,nan,nan,nan,nan,nan,SE,0.0,15.0,72.0,44.0,nan,nan,0.0,0.0,25.6,33.2,No,0.0,No
2009-02-07,Newcastle,22.2,37.8,0.0,nan,nan,nan,nan,NE,SE,7.0,19.0,51.0,31.0,nan,nan,1.0,0.0,27.4,35.6,No,0.0,No
2009-02-08,Newcastle,20.0,34.2,0.0,nan,nan,nan,nan,NE,SE,15.0,11.0,61.0,43.0,nan,nan,0.0,0.0,24.8,33.2,No,0.0,No
