Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-01,Penrith,15.2,32.6,0.0,nan,nan,WNW,59.0,NNE,W,13.0,22.0,35.0,23.0,nan,nan,nan,nan,24.4,31.3,No,0.0,No
2008-12-02,Penrith,15.0,31.7,0.0,nan,nan,ENE,28.0,NNE,N,13.0,15.0,64.0,38.0,nan,nan,nan,nan,20.4,30.1,No,0.0,No
2008-12-03,Penrith,15.9,33.4,0.0,nan,nan,NW,52.0,N,NW,9.0,30.0,63.0,16.0,nan,nan,nan,nan,21.0,31.4,No,0.0,No
2008-12-04,Penrith,17.2,24.8,0.0,nan,nan,E,35.0,SSE,E,9.0,19.0,71.0,55.0,nan,nan,nan,nan,19.5,22.7,No,0.0,No
2008-12-05,Penrith,17.8,32.2,0.0,nan,nan,ENE,28.0,NE,ENE,7.0,15.0,97.0,48.0,nan,nan,nan,nan,19.8,29.6,No,0.2,No
2008-12-06,Penrith,18.1,36.2,0.2,nan,nan,W,46.0,NW,W,7.0,24.0,75.0,26.0,nan,nan,nan,nan,25.9,35.7,No,0.0,No
2008-12-07,Penrith,19.3,27.8,0.0,nan,nan,S,50.0,NE,SE,4.0,24.0,99.0,89.0,nan,nan,nan,nan,20.3,21.7,No,12.0,Yes
2008-12-08,Penrith,17.2,26.9,12.0,nan,nan,NNE,37.0,W,NNE,6.0,11.0,84.0,99.0,nan,nan,nan,nan,20.5,19.6,Yes,4.8,Yes
2008-12-09,Penrith,15.9,33.0,4.8,nan,nan,NNW,35.0,NNE,WNW,7.0,15.0,89.0,21.0,nan,nan,nan,nan,20.0,32.2,Yes,0.0,No
2008-12-11,Penrith,nan,18.7,nan,nan,nan,ESE,31.0,S,ESE,13.0,11.0,100.0,84.0,nan,nan,nan,nan,17.4,18.6,nan,6.8,Yes
