Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01,Richmond,12.0,33.1,0.0,nan,nan,W,61.0,ENE,W,9.0,31.0,nan,nan,1005.5,1001.0,nan,nan,20.0,32.1,No,0.0,No
2009-01-02,Richmond,15.9,25.8,0.0,19.0,nan,SE,50.0,ENE,SE,13.0,35.0,nan,nan,1012.6,1012.1,nan,nan,20.0,23.7,No,0.0,No
2009-01-03,Richmond,13.6,20.8,0.0,nan,nan,E,24.0,SSW,NNE,7.0,9.0,nan,nan,1021.9,1019.1,nan,nan,16.8,20.0,No,0.0,No
2009-01-04,Richmond,16.3,30.1,0.0,nan,nan,NE,33.0,ENE,NE,4.0,17.0,nan,nan,1018.7,1013.5,nan,nan,19.6,29.3,No,0.0,No
2009-01-05,Richmond,14.6,36.5,0.0,15.2,nan,W,57.0,NNE,WSW,7.0,24.0,nan,nan,1013.1,1007.7,nan,nan,21.2,36.1,No,0.0,No
2009-01-06,Richmond,14.0,38.2,0.0,nan,nan,NNW,59.0,ESE,NE,6.0,11.0,nan,nan,1011.8,1006.1,nan,nan,22.5,38.0,No,0.0,No
2009-01-07,Richmond,15.6,38.2,0.0,nan,nan,W,48.0,NE,NW,9.0,19.0,nan,nan,1010.0,1004.2,nan,nan,22.2,35.8,No,0.0,No
2009-01-08,Richmond,19.4,21.4,0.0,nan,nan,SE,43.0,SSE,SE,11.0,19.0,nan,nan,1012.4,1013.4,nan,nan,20.2,18.3,No,1.4,Yes
2009-01-09,Richmond,14.2,21.2,1.4,24.0,nan,E,37.0,SSW,E,17.0,13.0,nan,nan,1020.3,1018.5,nan,nan,16.9,19.9,Yes,0.0,No
2009-01-10,Richmond,11.3,25.1,0.0,nan,nan,NE,35.0,SSE,E,6.0,19.0,nan,nan,1017.1,1012.7,nan,nan,17.2,23.3,No,0.0,No
2009-01-11,Richmond,11.8,28.5,0.0,nan,nan,ESE,37.0,W,NE,2.0,17.0,nan,nan,1014.3,1009.8,nan,nan,19.4,27.8,No,3.4,Yes
2009-01-12,Richmond,15.4,28.3,3.4,13.4,nan,ENE,50.0,W,ESE,4.0,30.0,nan,nan,1015.8,1014.8,nan,nan,17.8,26.4,Yes,0.2,No
2009-01-13,Richmond,17.8,31.1,0.2,nan,nan,NE,35.0,NE,NE,11.0,17.0,nan,nan,1019.4,1015.0,nan,nan,22.7,29.3,No,0.0,No
2009-01-14,Richmond,15.1,38.4,0.0,11.8,nan,ENE,37.0,E,ENE,4.0,13.0,nan,nan,1014.6,1009.5,nan,nan,22.3,37.0,No,0.0,No
2009-01-15,Richmond,17.6,40.7,0.0,8.8,nan,SE,72.0,NE,NW,11.0,24.0,nan,nan,1008.9,1005.1,nan,nan,29.7,39.9,No,0.4,No
2009-01-16,Richmond,15.9,34.9,0.4,10.8,nan,SE,63.0,S,NNE,6.0,11.0,nan,nan,1012.9,1007.4,nan,nan,19.8,30.7,No,0.2,No
2009-01-17,Richmond,14.7,21.4,0.2,nan,nan,SSE,35.0,SSW,SE,11.0,17.0,nan,nan,1020.8,1020.1,nan,nan,15.9,20.0,No,0.0,No
2009-01-18,Richmond,10.7,28.0,0.0,nan,nan,NE,33.0,NE,ENE,4.0,11.0,nan,nan,1022.1,1018.5,nan,nan,18.0,27.1,No,0.0,No
2009-01-19,Richmond,11.6,33.5,0.0,17.8,nan,ESE,41.0,NNE,NE,6.0,19.0,nan,23.0,1019.4,1013.5,nan,nan,18.9,31.9,No,0.0,No
2009-01-20,Richmond,15.4,39.0,0.0,8.0,nan,NNW,44.0,NE,NW,4.0,19.0,60.0,19.0,1013.7,1008.8,nan,nan,22.7,38.5,No,0.0,No
2009-01-21,Richmond,21.6,38.9,0.0,9.2,nan,SSW,46.0,NNE,NW,9.0,17.0,61.0,26.0,1011.7,1006.6,nan,nan,26.5,38.1,No,1.6,Yes
2009-01-22,Richmond,21.2,32.6,1.6,7.6,nan,NW,48.0,ENE,NNW,13.0,22.0,65.0,48.0,1008.9,1005.7,nan,nan,26.0,30.9,Yes,0.2,No
2009-01-23,Richmond,23.0,36.4,0.2,nan,nan,ESE,46.0,NNE,ENE,17.0,19.0,53.0,40.0,1008.9,1006.0,nan,nan,29.6,35.0,No,0.0,No
2009-01-24,Richmond,23.0,41.0,0.0,nan,nan,SE,69.0,NW,WNW,20.0,35.0,51.0,23.0,1004.8,1002.6,nan,nan,32.6,40.5,No,0.0,No
2009-01-25,Richmond,19.8,27.6,0.0,nan,nan,E,33.0,SSE,ENE,15.0,13.0,57.0,40.0,1019.8,1017.4,nan,nan,21.5,27.2,No,0.0,No
2009-01-26,Richmond,21.1,30.7,0.0,nan,nan,ESE,39.0,WSW,SE,9.0,19.0,64.0,51.0,1019.4,1018.1,nan,nan,22.5,30.1,No,10.6,Yes
2009-01-27,Richmond,19.8,29.2,10.6,37.2,nan,S,28.0,SW,SE,9.0,9.0,99.0,63.0,1021.4,1019.1,nan,nan,20.3,27.3,Yes,0.2,No
2009-01-28,Richmond,18.1,35.1,0.2,4.0,nan,ENE,33.0,NNE,NE,7.0,17.0,99.0,38.0,1018.7,1014.6,nan,nan,19.3,32.9,No,0.0,No
2009-01-29,Richmond,16.9,34.7,0.0,6.6,nan,ENE,35.0,NE,NNE,6.0,11.0,89.0,37.0,1018.8,1014.9,nan,nan,21.5,32.8,No,0.0,No
2009-01-30,Richmond,17.6,34.8,0.0,7.6,nan,ENE,37.0,ENE,NNE,6.0,13.0,74.0,32.0,1018.5,1014.2,nan,nan,24.3,33.3,No,0.0,No
2009-01-31,Richmond,17.5,37.5,0.0,7.4,nan,E,35.0,ESE,ENE,6.0,15.0,76.0,31.0,1017.4,1012.1,nan,nan,23.5,36.6,No,0.0,No
2009-02-01,Richmond,19.7,33.3,0.0,nan,nan,SE,39.0,S,ESE,13.0,26.0,71.0,43.0,1015.6,1014.4,nan,nan,24.8,31.8,No,0.0,No
2009-02-02,Richmond,19.5,35.5,0.0,14.8,nan,E,37.0,nan,ENE,0.0,15.0,75.0,36.0,1016.3,1010.4,nan,nan,25.0,34.0,No,0.0,No
