Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01,Sale,10.7,22.1,0.0,10.0,11.5,WSW,76.0,W,WSW,41.0,31.0,46.0,62.0,1001.7,1003.4,4.0,6.0,18.4,16.7,No,0.0,No
2009-01-02,Sale,8.0,18.9,0.0,nan,11.7,W,50.0,W,WSW,30.0,33.0,61.0,36.0,1016.2,1017.3,3.0,6.0,12.5,16.7,No,0.0,No
2009-01-03,Sale,4.2,20.0,0.0,4.0,9.1,ESE,33.0,WNW,ESE,7.0,15.0,63.0,43.0,1020.9,1018.0,1.0,6.0,12.9,18.8,No,0.0,No
2009-01-04,Sale,6.7,24.3,0.0,5.0,10.5,ESE,33.0,SSW,E,6.0,19.0,70.0,47.0,1017.0,1013.4,3.0,5.0,16.4,23.2,No,0.0,No
2009-01-05,Sale,8.9,27.9,0.0,6.8,10.8,ENE,37.0,WNW,SE,11.0,24.0,79.0,52.0,1011.4,1008.9,6.0,1.0,15.9,25.5,No,0.0,No
2009-01-06,Sale,10.8,32.2,0.0,6.6,13.4,SE,44.0,W,SE,13.0,30.0,58.0,45.0,1010.0,1006.9,0.0,1.0,19.7,26.3,No,0.0,No
2009-01-07,Sale,15.3,20.2,0.0,7.8,0.5,W,30.0,SSW,SE,15.0,15.0,84.0,74.0,1008.6,1008.3,8.0,7.0,17.8,19.6,No,0.0,No
2009-01-08,Sale,11.4,20.4,0.0,2.8,9.5,SSW,43.0,W,SW,20.0,28.0,59.0,49.0,1016.0,1017.2,4.0,6.0,16.3,16.8,No,0.0,No
2009-01-09,Sale,4.7,21.1,0.0,4.0,12.8,E,43.0,NW,E,9.0,20.0,66.0,33.0,1021.6,1018.6,1.0,nan,13.6,20.4,No,0.0,No
2009-01-10,Sale,10.6,26.3,0.0,8.2,9.8,S,44.0,NW,SSE,11.0,22.0,73.0,54.0,1012.8,1009.8,7.0,6.0,16.2,22.9,No,0.0,No
2009-01-11,Sale,11.0,22.5,0.0,6.6,5.0,SE,33.0,S,SE,11.0,13.0,73.0,61.0,1011.4,1009.7,7.0,7.0,19.3,21.4,No,0.0,No
2009-01-12,Sale,7.7,23.3,0.0,5.0,13.3,ESE,35.0,WNW,ESE,11.0,20.0,68.0,52.0,1018.4,1017.9,3.0,3.0,16.2,22.9,No,0.0,No
2009-01-13,Sale,11.9,34.7,0.0,5.8,12.5,ESE,37.0,ENE,SSE,6.0,15.0,74.0,27.0,1014.8,1010.1,1.0,1.0,18.4,33.1,No,0.0,No
2009-01-14,Sale,13.4,39.3,0.0,nan,9.8,NW,56.0,E,SE,4.0,19.0,48.0,41.0,1006.3,1005.7,4.0,6.0,25.8,30.7,No,0.0,No
2009-01-15,Sale,15.1,25.7,0.0,10.0,7.3,W,54.0,WSW,W,31.0,26.0,65.0,36.0,1013.0,1012.7,7.0,7.0,16.8,23.1,No,0.4,No
2009-01-16,Sale,12.7,21.2,0.4,8.4,8.7,WSW,69.0,W,W,28.0,39.0,91.0,25.0,1014.8,1015.7,7.0,4.0,13.0,20.3,No,0.4,No
2009-01-17,Sale,9.3,22.4,0.4,7.4,10.3,SE,35.0,W,SE,15.0,24.0,60.0,40.0,1023.2,1021.8,7.0,1.0,14.1,20.7,No,0.0,No
2009-01-18,Sale,6.7,24.3,0.0,4.6,13.6,ESE,35.0,NW,ESE,9.0,24.0,72.0,46.0,1022.1,1018.9,0.0,0.0,13.8,22.7,No,0.0,No
2009-01-19,Sale,8.4,28.3,0.0,6.8,13.2,ESE,37.0,NNE,ESE,4.0,28.0,76.0,46.0,1014.6,1011.1,1.0,1.0,16.8,26.9,No,0.0,No
2009-01-20,Sale,12.5,39.7,0.0,7.6,11.8,WNW,57.0,NNE,W,7.0,35.0,53.0,11.0,1005.8,1002.5,1.0,4.0,22.8,39.3,No,0.0,No
2009-01-21,Sale,12.0,27.2,0.0,13.2,13.2,ESE,41.0,NNE,ESE,9.0,22.0,56.0,47.0,1010.6,1007.8,3.0,3.0,19.4,24.6,No,0.0,No
2009-01-22,Sale,13.8,33.3,0.0,7.8,5.5,NNW,70.0,N,NW,24.0,33.0,53.0,59.0,998.3,995.0,7.0,8.0,27.0,26.8,No,1.2,Yes
2009-01-23,Sale,15.2,24.0,1.2,6.6,11.8,E,43.0,SW,E,13.0,33.0,46.0,49.0,1008.2,1004.5,2.0,2.0,18.0,22.5,Yes,1.2,Yes
2009-01-24,Sale,13.2,23.7,1.2,8.6,10.9,WNW,76.0,WSW,WSW,37.0,39.0,69.0,35.0,1003.8,1009.9,7.0,3.0,18.5,22.7,Yes,0.0,No
2009-01-25,Sale,6.6,25.0,0.0,9.0,12.6,ESE,37.0,NNW,E,7.0,26.0,65.0,48.0,1018.2,1017.4,0.0,0.0,15.1,23.0,No,0.0,No
2009-01-26,Sale,10.4,24.9,0.0,6.0,13.1,ESE,41.0,NNW,ESE,7.0,26.0,69.0,49.0,1022.2,1021.9,4.0,1.0,17.8,23.1,No,0.0,No
2009-01-27,Sale,16.3,29.0,0.0,7.2,12.0,ENE,37.0,E,ESE,11.0,22.0,75.0,43.0,1018.1,1014.5,3.0,1.0,19.2,27.8,No,0.0,No
2009-01-28,Sale,12.6,41.2,0.0,7.6,12.5,E,46.0,N,WSW,6.0,9.0,77.0,19.0,1013.1,1009.6,0.0,1.0,22.1,40.2,No,0.0,No
2009-01-29,Sale,17.3,43.4,0.0,9.2,12.5,E,41.0,SSW,WNW,6.0,19.0,51.0,15.0,1011.3,1009.3,1.0,2.0,29.1,42.6,No,0.0,No
2009-01-30,Sale,18.9,43.4,0.0,12.6,12.7,SE,48.0,WNW,S,11.0,13.0,45.0,10.0,1011.8,1008.5,0.0,1.0,28.6,42.9,No,0.0,No
2009-01-31,Sale,19.5,34.8,0.0,11.2,11.3,S,44.0,S,S,6.0,26.0,72.0,38.0,1012.2,1012.7,2.0,1.0,22.8,31.7,No,0.8,No
2009-02-01,Sale,18.7,22.3,0.8,8.8,0.0,ESE,44.0,ESE,ESE,24.0,30.0,95.0,85.0,1019.9,1019.3,8.0,8.0,18.8,19.6,No,0.2,No
2009-02-02,Sale,18.5,24.6,0.2,1.6,0.1,SE,33.0,WSW,SSE,17.0,11.0,86.0,90.0,1011.3,1010.0,8.0,8.0,21.8,21.8,No,1.2,Yes
2009-02-03,Sale,17.9,20.1,1.2,2.4,0.0,ESE,37.0,ESE,ESE,24.0,30.0,87.0,71.0,1015.0,1014.4,8.0,8.0,18.4,19.8,Yes,0.0,No
2009-02-04,Sale,17.8,25.1,0.0,1.8,1.6,E,39.0,ESE,ESE,26.0,24.0,93.0,69.0,1011.3,1009.0,8.0,7.0,19.6,24.1,No,0.0,No
2009-02-05,Sale,18.8,37.2,0.0,3.0,10.5,S,48.0,W,SE,15.0,30.0,89.0,41.0,1005.0,1003.5,7.0,1.0,20.7,33.0,No,0.0,No
2009-02-06,Sale,14.4,24.7,0.0,10.0,6.0,E,31.0,S,ENE,13.0,19.0,76.0,58.0,1010.9,1008.8,8.0,1.0,17.7,23.1,No,0.0,No
2009-02-07,Sale,15.7,44.4,0.0,5.6,10.2,WNW,87.0,SSW,NW,4.0,43.0,64.0,7.0,1003.8,999.0,1.0,1.0,24.2,43.9,No,0.8,No
2009-02-08,Sale,18.6,24.5,0.8,18.0,0.1,nan,nan,WSW,S,9.0,22.0,75.0,64.0,1010.7,1012.2,8.0,8.0,20.0,20.4,No,0.6,No
2009-02-09,Sale,14.0,22.2,0.6,5.0,10.9,nan,nan,S,S,28.0,26.0,48.0,34.0,1016.6,1015.5,5.0,5.0,16.5,19.7,No,0.0,No
2009-02-10,Sale,10.7,20.5,0.0,7.2,1.7,S,41.0,W,WSW,15.0,17.0,56.0,32.0,1016.7,1015.5,7.0,7.0,13.9,19.2,No,0.0,No
2009-02-11,Sale,7.9,17.6,0.0,4.2,0.7,SSE,35.0,W,S,19.0,22.0,72.0,92.0,1017.3,1017.8,6.0,8.0,14.0,14.4,No,21.0,Yes
2009-02-12,Sale,12.4,19.1,21.0,2.0,4.5,SE,41.0,WSW,E,7.0,17.0,88.0,71.0,1022.4,1023.7,7.0,7.0,13.8,16.4,Yes,1.8,Yes
2009-02-13,Sale,8.5,22.6,1.8,2.4,2.4,E,57.0,E,E,13.0,39.0,66.0,44.0,1028.5,1027.4,2.0,2.0,16.3,21.3,Yes,0.0,No
2009-02-14,Sale,9.4,23.7,0.0,6.8,12.1,E,52.0,ENE,E,9.0,33.0,65.0,50.0,1024.9,1021.0,1.0,5.0,16.4,22.3,No,0.0,No
2009-02-15,Sale,12.0,24.2,0.0,8.4,11.1,ESE,48.0,E,ESE,19.0,33.0,73.0,54.0,1020.0,1019.4,3.0,6.0,18.3,23.0,No,0.0,No
2009-02-16,Sale,16.1,25.0,0.0,6.8,11.4,E,59.0,ENE,E,37.0,41.0,61.0,34.0,1022.5,1020.0,6.0,1.0,20.2,23.8,No,0.0,No
2009-02-17,Sale,12.2,24.9,0.0,11.0,12.0,E,57.0,E,E,19.0,43.0,70.0,48.0,1018.9,1016.6,1.0,3.0,18.2,23.8,No,0.0,No
2009-02-18,Sale,13.5,23.9,0.0,8.0,6.0,E,54.0,E,E,9.0,39.0,81.0,62.0,1013.6,1011.2,7.0,8.0,18.1,21.9,No,0.0,No
2009-02-19,Sale,11.6,25.4,0.0,4.6,12.1,ESE,35.0,E,E,13.0,22.0,75.0,46.0,1009.4,1007.6,1.0,1.0,19.2,24.2,No,0.0,No
2009-02-20,Sale,11.3,24.4,0.0,6.8,3.8,SW,41.0,NW,W,9.0,28.0,97.0,56.0,1011.5,1011.4,7.0,7.0,16.4,22.5,No,0.2,No
2009-02-21,Sale,10.6,25.1,0.2,2.6,9.6,ESE,31.0,NW,SE,13.0,15.0,74.0,50.0,1016.6,1015.4,1.0,5.0,16.9,24.3,No,0.0,No
2009-02-22,Sale,11.6,24.3,0.0,5.0,10.3,E,46.0,ENE,E,11.0,35.0,93.0,53.0,1018.2,1015.8,7.0,3.0,16.6,23.8,No,0.2,No
2009-02-23,Sale,12.0,33.4,0.2,7.4,10.0,SE,41.0,WNW,W,9.0,20.0,91.0,16.0,1010.8,1007.3,7.0,7.0,15.9,32.0,No,0.0,No
2009-02-24,Sale,13.3,22.3,0.0,7.8,11.0,WSW,63.0,WSW,WSW,20.0,33.0,53.0,23.0,1017.2,1016.2,5.0,1.0,15.4,21.7,No,0.0,No
2009-02-25,Sale,11.4,24.0,0.0,8.8,5.9,WNW,43.0,WNW,WSW,30.0,24.0,69.0,49.0,1019.0,1017.9,7.0,6.0,16.1,21.9,No,0.0,No
2009-02-26,Sale,12.6,23.7,0.0,4.6,8.8,E,48.0,E,E,13.0,35.0,73.0,53.0,1021.9,1020.0,7.0,5.0,17.8,22.7,No,0.0,No
2009-02-27,Sale,11.3,25.8,0.0,7.4,5.8,ENE,37.0,ENE,ESE,13.0,28.0,75.0,49.0,1015.8,1012.3,7.0,7.0,17.4,24.3,No,0.0,No
2009-02-28,Sale,14.6,26.1,0.0,4.2,11.8,WSW,70.0,W,SW,31.0,28.0,60.0,48.0,1010.0,1009.4,0.0,3.0,18.5,23.9,No,0.0,No
2009-03-01,Sale,12.3,24.3,0.0,7.4,7.8,ESE,33.0,nan,WNW,nan,11.0,nan,37.0,nan,1012.8,nan,6.0,nan,22.6,No,0.0,No
