Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-02-01,Sydney,19.5,22.4,15.6,6.2,0.0,nan,nan,S,SSW,17.0,20.0,92.0,84.0,1017.6,1017.4,8.0,8.0,20.7,20.9,Yes,6.0,Yes
2008-02-02,Sydney,19.5,25.6,6.0,3.4,2.7,nan,nan,W,E,9.0,13.0,83.0,73.0,1017.9,1016.4,7.0,7.0,22.4,24.8,Yes,6.6,Yes
2008-02-03,Sydney,21.6,24.5,6.6,2.4,0.1,nan,nan,ESE,ESE,17.0,2.0,88.0,86.0,1016.7,1015.6,7.0,8.0,23.5,23.0,Yes,18.8,Yes
2008-02-04,Sydney,20.2,22.8,18.8,2.2,0.0,nan,nan,NNE,E,22.0,20.0,83.0,90.0,1014.2,1011.8,8.0,8.0,21.4,20.9,Yes,77.4,Yes
2008-02-05,Sydney,19.7,25.7,77.4,nan,0.0,nan,nan,NNE,W,11.0,6.0,88.0,74.0,1008.3,1004.8,8.0,8.0,22.5,25.5,Yes,1.6,Yes
2008-02-06,Sydney,20.2,27.2,1.6,2.6,8.6,nan,nan,W,ENE,9.0,22.0,69.0,62.0,1002.7,998.6,6.0,6.0,23.8,26.0,Yes,6.2,Yes
2008-02-07,Sydney,18.6,26.3,6.2,5.2,5.2,nan,nan,W,S,15.0,15.0,75.0,80.0,999.0,1000.3,4.0,7.0,21.7,22.3,Yes,27.6,Yes
2008-02-08,Sydney,17.2,22.3,27.6,5.8,2.1,nan,nan,S,SE,7.0,15.0,77.0,61.0,1008.3,1007.4,7.0,8.0,18.9,21.1,Yes,12.6,Yes
2008-02-09,Sydney,16.4,20.8,12.6,4.8,3.0,nan,nan,SSW,W,19.0,9.0,92.0,91.0,1006.4,1007.6,7.0,7.0,17.1,16.5,Yes,8.8,Yes
2008-02-10,Sydney,14.6,24.2,8.8,4.4,10.1,nan,nan,W,SSE,11.0,20.0,80.0,53.0,1014.0,1013.4,4.0,2.0,17.2,23.3,Yes,0.0,No
2008-02-11,Sydney,16.4,23.9,0.0,6.4,8.0,nan,nan,WNW,E,9.0,26.0,78.0,53.0,1017.6,1015.3,7.0,8.0,18.9,23.7,No,0.0,No
2008-02-12,Sydney,18.9,27.3,0.0,6.8,6.7,nan,nan,N,NE,7.0,24.0,68.0,67.0,1010.7,1007.5,7.0,7.0,22.9,24.7,No,14.4,Yes
2008-02-13,Sydney,18.4,22.8,14.4,7.0,3.3,nan,nan,S,S,24.0,30.0,87.0,70.0,1009.2,1011.7,8.0,7.0,20.9,21.0,Yes,3.0,Yes
