Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2013-03-01,Uluru,19.7,30.0,0.8,nan,nan,ESE,48.0,E,E,30.0,24.0,76.0,54.0,1010.6,1007.5,nan,nan,21.7,28.4,No,0.0,No
2013-03-02,Uluru,21.6,33.1,0.0,nan,nan,E,33.0,E,N,22.0,11.0,44.0,33.0,1010.5,1006.5,nan,nan,24.6,31.3,No,0.0,No
2013-03-03,Uluru,21.3,36.1,0.0,nan,nan,E,33.0,ENE,SSE,24.0,13.0,39.0,27.0,1006.9,1002.7,nan,nan,27.6,34.5,No,0.0,No
2013-03-04,Uluru,22.9,37.7,0.0,nan,nan,ENE,39.0,E,SSE,28.0,13.0,35.0,22.0,1006.0,1002.1,nan,nan,28.7,35.4,No,0.0,No
2013-03-05,Uluru,24.0,39.0,0.0,nan,nan,S,39.0,E,S,20.0,19.0,33.0,21.0,1006.9,1003.5,nan,nan,29.9,37.3,No,0.0,No
2013-03-06,Uluru,24.3,39.7,0.0,nan,nan,S,46.0,E,SW,22.0,15.0,36.0,17.0,1007.9,1003.9,nan,nan,30.4,38.1,No,0.0,No
2013-03-07,Uluru,26.6,38.6,0.0,nan,nan,WSW,33.0,E,SSE,24.0,15.0,41.0,21.0,1008.3,1004.5,nan,nan,29.9,37.1,No,0.0,No
2013-03-08,Uluru,26.9,39.4,0.0,nan,nan,SSE,54.0,E,SSW,13.0,15.0,39.0,24.0,1008.9,1005.1,nan,nan,30.9,36.8,No,0.0,No
2013-03-09,Uluru,24.4,40.0,0.0,nan,nan,SE,54.0,ESE,NE,22.0,9.0,54.0,24.0,1010.4,1005.9,nan,nan,28.6,37.5,No,0.0,No
2013-03-10,Uluru,25.4,39.8,0.0,nan,nan,NE,37.0,E,SE,24.0,13.0,40.0,20.0,1010.7,1006.8,nan,nan,31.0,37.7,No,0.0,No
