Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01,WaggaWagga,9.9,28.4,0.0,9.8,13.5,WNW,59.0,NW,W,7.0,35.0,37.0,24.0,1005.2,1003.5,1.0,1.0,20.8,27.0,No,0.0,No
2009-01-02,WaggaWagga,8.9,25.3,0.0,14.8,13.7,WSW,48.0,SW,SW,22.0,28.0,37.0,10.0,1013.9,1012.9,1.0,0.0,14.7,23.2,No,0.0,No
2009-01-03,WaggaWagga,11.0,30.7,0.0,9.8,13.7,NE,39.0,ENE,NNE,26.0,9.0,43.0,18.0,1017.8,1014.3,0.0,1.0,18.9,28.0,No,0.0,No
2009-01-04,WaggaWagga,14.7,35.2,0.0,9.4,12.1,N,39.0,NE,NW,17.0,13.0,46.0,19.0,1014.8,1010.6,1.0,4.0,24.7,33.7,No,0.0,No
2009-01-05,WaggaWagga,11.8,36.5,0.0,11.6,13.4,W,43.0,NNE,SW,7.0,19.0,23.0,5.0,1013.1,1009.8,1.0,1.0,23.6,34.6,No,0.0,No
2009-01-06,WaggaWagga,12.5,39.1,0.0,13.0,13.6,SW,72.0,NE,W,6.0,30.0,23.0,3.0,1011.4,1007.4,0.0,0.0,25.8,37.4,No,0.0,No
2009-01-07,WaggaWagga,15.6,41.8,0.0,15.2,9.3,NNW,59.0,ESE,W,13.0,30.0,17.0,5.0,1006.4,1002.5,1.0,6.0,29.1,39.4,No,0.0,No
2009-01-08,WaggaWagga,14.5,30.4,0.0,17.0,12.9,W,54.0,WSW,WSW,19.0,28.0,38.0,8.0,1011.9,1010.9,1.0,0.0,18.9,28.5,No,0.0,No
2009-01-09,WaggaWagga,14.8,28.7,0.0,14.0,12.8,ENE,78.0,E,NE,30.0,20.0,46.0,18.0,1016.9,1013.5,0.0,4.0,19.0,27.2,No,0.0,No
2009-01-10,WaggaWagga,15.9,29.7,0.0,11.4,12.7,ENE,61.0,ENE,ENE,26.0,20.0,43.0,31.0,1013.4,1008.8,2.0,6.0,19.3,27.1,No,0.0,No
2009-01-11,WaggaWagga,18.1,31.3,0.0,10.4,10.1,E,33.0,ENE,NNW,20.0,9.0,51.0,38.0,1010.1,1007.3,1.0,7.0,22.6,29.1,No,0.0,No
2009-01-12,WaggaWagga,16.5,35.4,0.0,7.2,13.5,NE,39.0,ENE,WSW,9.0,15.0,53.0,17.0,1013.9,1011.8,1.0,1.0,24.9,33.9,No,0.0,No
2009-01-13,WaggaWagga,19.4,38.3,0.0,12.8,13.4,ENE,41.0,ENE,N,15.0,13.0,50.0,16.0,1016.1,1011.2,0.0,1.0,25.0,36.1,No,0.0,No
