Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01,Watsonia,13.9,20.0,0.0,5.6,8.8,SSW,61.0,W,SW,19.0,31.0,56.0,48.0,1004.8,1006.0,7.0,7.0,16.9,18.0,No,0.8,No
2009-01-02,Watsonia,8.9,18.4,0.8,7.2,12.9,SW,52.0,SW,SW,13.0,24.0,75.0,41.0,1017.8,1019.0,6.0,7.0,11.7,17.1,No,0.0,No
2009-01-03,Watsonia,5.2,21.4,0.0,6.2,10.5,SSW,28.0,SE,SW,6.0,17.0,59.0,44.0,1020.7,1017.4,1.0,7.0,12.9,19.9,No,0.0,No
2009-01-04,Watsonia,7.7,30.5,0.0,6.4,12.5,SSW,30.0,NNE,SSW,6.0,13.0,73.0,16.0,1016.4,1012.7,5.0,4.0,13.7,29.0,No,0.0,No
2009-01-05,Watsonia,10.6,29.9,0.0,7.4,12.3,SW,33.0,ENE,SW,4.0,13.0,66.0,27.0,1011.5,1010.1,6.0,2.0,18.8,28.4,No,0.0,No
2009-01-06,Watsonia,12.8,31.7,0.0,7.2,13.7,SSW,48.0,E,SSW,6.0,24.0,53.0,36.0,1010.4,1007.4,0.0,1.0,20.9,29.7,No,0.0,No
2009-01-07,Watsonia,16.5,22.6,0.0,8.8,4.4,SSW,39.0,SSE,SW,7.0,24.0,89.0,58.0,1009.7,1009.9,8.0,7.0,16.9,21.9,No,0.0,No
2009-01-08,Watsonia,11.4,19.3,0.0,5.2,11.5,S,52.0,SW,SSW,19.0,30.0,59.0,42.0,1017.2,1018.6,2.0,5.0,15.1,17.7,No,0.0,No
2009-01-09,Watsonia,9.6,22.4,0.0,5.6,12.6,SW,43.0,SSE,SSE,13.0,15.0,52.0,36.0,1021.4,1017.3,2.0,7.0,15.0,21.4,No,0.0,No
2009-01-10,Watsonia,10.8,25.6,0.0,7.2,10.2,SW,39.0,NW,SSW,4.0,22.0,69.0,46.0,1013.6,1009.6,7.0,1.0,15.2,23.2,No,0.0,No
2009-01-11,Watsonia,13.4,25.4,0.0,6.6,10.2,SW,41.0,E,SSW,6.0,17.0,85.0,51.0,1011.8,1009.4,8.0,1.0,15.1,23.8,No,0.0,No
2009-01-12,Watsonia,10.0,26.0,0.0,5.2,7.8,S,30.0,E,S,2.0,13.0,75.0,44.0,1018.4,1017.1,8.0,5.0,14.7,23.9,No,0.0,No
2009-01-13,Watsonia,11.4,37.2,0.0,6.8,13.5,NNW,43.0,NE,NNW,9.0,17.0,62.0,15.0,1013.9,1009.8,0.0,0.0,20.5,34.4,No,0.0,No
2009-01-14,Watsonia,20.5,34.5,0.0,18.6,12.3,N,46.0,N,WSW,28.0,17.0,12.0,44.0,1006.9,1008.5,3.0,4.0,33.3,27.5,No,0.0,No
2009-01-15,Watsonia,14.4,24.4,0.0,9.2,10.1,SW,44.0,WSW,SW,17.0,20.0,63.0,41.0,1015.6,1014.4,7.0,5.0,16.6,22.3,No,0.0,No
2009-01-16,Watsonia,14.0,20.3,0.0,8.6,9.9,SSW,57.0,WSW,SSW,24.0,26.0,51.0,39.0,1017.0,1018.4,7.0,6.0,17.0,20.0,No,0.0,No
2009-01-17,Watsonia,12.6,21.5,0.0,8.8,12.1,SW,44.0,S,SW,15.0,22.0,53.0,43.0,1022.7,1022.2,4.0,2.0,15.1,19.6,No,0.0,No
2009-01-18,Watsonia,8.2,27.8,0.0,6.6,13.0,SW,30.0,ESE,SW,6.0,19.0,64.0,39.0,1021.7,1018.5,1.0,0.0,14.9,24.7,No,0.0,No
2009-01-19,Watsonia,10.9,37.2,0.0,7.8,13.4,N,37.0,NE,NNW,11.0,17.0,51.0,10.0,1013.8,1008.9,1.0,1.0,20.8,35.9,No,0.0,No
2009-01-20,Watsonia,16.6,40.6,0.0,15.8,12.0,W,65.0,NE,SSW,4.0,33.0,37.0,26.0,1005.5,1005.3,1.0,3.0,25.8,29.0,No,0.0,No
