Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-01-01,Witchcliffe,11.9,28.3,0.0,nan,nan,SSE,39.0,ESE,SSE,19.0,22.0,66.0,49.0,1015.0,1012.0,nan,nan,17.5,27.7,No,0.0,No
2009-01-02,Witchcliffe,15.1,28.8,0.0,nan,nan,SSE,50.0,SE,SSE,11.0,22.0,65.0,48.0,1012.4,1011.4,nan,nan,21.0,27.9,No,0.0,No
2009-01-03,Witchcliffe,16.6,24.7,0.0,nan,nan,SE,44.0,SE,S,24.0,22.0,66.0,54.0,1016.9,1016.2,nan,nan,20.3,23.7,No,0.0,No
2009-01-04,Witchcliffe,13.9,29.9,0.0,nan,nan,SSE,44.0,SE,SSE,13.0,20.0,62.0,44.0,1020.1,1016.9,nan,nan,19.8,29.1,No,0.0,No
2009-01-05,Witchcliffe,15.6,30.1,0.0,nan,nan,SSE,44.0,SE,SSE,13.0,24.0,71.0,56.0,1017.5,1015.5,nan,nan,20.7,26.5,No,0.0,No
2009-01-06,Witchcliffe,17.5,26.1,0.0,nan,nan,SSE,54.0,SE,SSE,20.0,24.0,66.0,58.0,1018.1,1016.2,nan,nan,19.9,23.8,No,0.0,No
2009-01-07,Witchcliffe,13.9,27.2,0.0,nan,nan,SSE,50.0,ESE,SSE,20.0,28.0,63.0,45.0,1019.0,1015.9,nan,nan,18.1,25.2,No,0.0,No
2009-01-08,Witchcliffe,13.0,27.3,0.0,nan,nan,SSE,48.0,SE,SE,17.0,22.0,69.0,50.0,1018.9,1017.0,nan,nan,17.6,26.2,No,0.0,No
2009-01-09,Witchcliffe,14.6,28.7,0.0,nan,nan,S,39.0,SE,S,13.0,24.0,74.0,47.0,1019.2,1016.9,nan,nan,18.7,26.9,No,0.0,No
2009-01-10,Witchcliffe,15.6,26.7,0.0,nan,nan,S,37.0,SSE,SE,13.0,19.0,99.0,50.0,1016.3,1015.0,nan,nan,17.6,26.0,No,0.2,No
2009-01-11,Witchcliffe,12.7,32.6,0.2,nan,nan,WNW,31.0,NNE,WNW,9.0,19.0,68.0,30.0,1011.3,1008.4,nan,nan,21.8,30.5,No,0.6,No
2009-01-12,Witchcliffe,14.4,21.8,0.6,nan,nan,WSW,43.0,WNW,SW,9.0,22.0,93.0,72.0,1007.5,1010.1,nan,nan,20.1,19.8,No,2.0,Yes
2009-01-13,Witchcliffe,9.4,23.3,2.0,nan,nan,SW,31.0,SSW,SW,17.0,17.0,51.0,47.0,1017.8,1017.4,nan,nan,18.9,22.3,Yes,0.0,No
2009-01-14,Witchcliffe,10.4,24.6,0.0,nan,nan,SSE,43.0,SE,SE,9.0,15.0,64.0,41.0,1020.4,1019.0,nan,nan,18.0,23.4,No,0.0,No
2009-01-15,Witchcliffe,12.8,32.2,0.0,nan,nan,nan,nan,E,SSE,17.0,19.0,70.0,33.0,1019.5,1015.9,nan,nan,18.6,31.8,No,0.0,No
2009-01-16,Witchcliffe,nan,37.8,0.0,nan,nan,WNW,39.0,E,W,7.0,22.0,50.0,27.0,1012.6,1011.5,nan,nan,25.5,32.4,No,0.0,No
2009-01-17,Witchcliffe,15.8,26.7,0.0,nan,nan,SSE,50.0,SSE,S,28.0,26.0,62.0,53.0,1017.8,1017.7,nan,nan,21.3,25.9,No,0.0,No
2009-01-18,Witchcliffe,17.0,23.4,0.0,nan,nan,SSE,57.0,SE,SSE,17.0,31.0,73.0,55.0,1019.5,1018.3,nan,nan,18.1,21.1,No,0.0,No
2009-01-19,Witchcliffe,14.0,22.9,0.0,nan,nan,SE,48.0,ESE,SSE,13.0,26.0,53.0,42.0,1021.5,1018.9,nan,nan,17.3,21.4,No,0.0,No
2009-01-20,Witchcliffe,9.8,24.1,0.0,nan,nan,WSW,37.0,nan,SW,0.0,20.0,66.0,53.0,1020.0,1018.8,nan,nan,17.7,23.1,No,0.0,No
2009-01-21,Witchcliffe,17.0,23.7,0.0,nan,nan,W,41.0,W,W,15.0,17.0,61.0,57.0,1016.0,1014.3,nan,nan,20.6,23.6,No,2.6,Yes
2009-01-22,Witchcliffe,17.2,24.2,2.6,nan,nan,WSW,31.0,SSW,W,11.0,17.0,96.0,64.0,1013.6,1013.4,nan,nan,18.5,22.3,Yes,0.2,No
2009-01-23,Witchcliffe,18.3,24.9,0.2,nan,nan,SW,31.0,WSW,SW,15.0,15.0,86.0,52.0,1013.4,1013.4,nan,nan,19.7,23.8,No,0.0,No
2009-01-24,Witchcliffe,8.1,26.9,0.0,nan,nan,SW,28.0,ESE,SW,6.0,11.0,72.0,40.0,1015.8,1014.4,nan,nan,18.0,26.6,No,0.0,No
2009-01-25,Witchcliffe,16.5,28.6,0.0,nan,nan,SSE,39.0,E,SSE,17.0,20.0,70.0,49.0,1016.5,1013.3,nan,nan,20.5,27.2,No,0.0,No
2009-01-26,Witchcliffe,17.9,25.5,0.0,nan,nan,SE,35.0,SSE,SSW,19.0,19.0,77.0,55.0,1009.9,1009.7,nan,nan,20.3,24.1,No,0.2,No
2009-01-27,Witchcliffe,11.7,25.1,0.2,nan,nan,S,50.0,SE,SSE,13.0,26.0,82.0,50.0,1012.7,1010.1,nan,nan,18.5,23.6,No,0.0,No
2009-01-28,Witchcliffe,17.0,20.7,0.0,nan,nan,SSE,46.0,SE,SSE,19.0,24.0,65.0,62.0,1008.3,1007.4,nan,nan,18.9,19.0,No,0.0,No
2009-01-29,Witchcliffe,16.4,24.1,0.0,nan,nan,SSE,39.0,SE,S,13.0,20.0,54.0,41.0,1011.0,1011.1,nan,nan,19.5,22.3,No,0.0,No
2009-01-30,Witchcliffe,9.8,24.7,0.0,nan,nan,SSE,50.0,SE,SSE,13.0,26.0,64.0,60.0,1013.8,1011.7,nan,nan,18.2,21.9,No,0.0,No
2009-01-31,Witchcliffe,17.4,32.6,0.0,nan,nan,SSE,33.0,ESE,S,13.0,20.0,69.0,47.0,1011.6,1009.1,nan,nan,21.2,31.6,No,0.0,No
2009-02-01,Witchcliffe,20.3,31.6,0.0,nan,nan,SSE,39.0,SE,SW,9.0,20.0,85.0,58.0,1013.9,1012.2,nan,nan,22.6,29.6,No,0.0,No
2009-02-02,Witchcliffe,20.0,31.8,0.0,nan,nan,WNW,30.0,SE,WSW,7.0,13.0,77.0,59.0,1012.0,1010.7,nan,nan,23.6,28.5,No,0.0,No
2009-02-03,Witchcliffe,20.1,27.1,0.0,nan,nan,SSE,41.0,SSE,S,15.0,20.0,72.0,54.0,1012.3,1012.0,nan,nan,22.0,25.7,No,0.6,No
2009-02-05,Witchcliffe,nan,nan,nan,nan,nan,nan,nan,nan,SSE,nan,20.0,nan,44.0,nan,1012.1,nan,nan,nan,23.6,nan,0.0,No
2009-02-06,Witchcliffe,nan,22.5,0.0,nan,nan,WSW,41.0,S,SW,15.0,19.0,57.0,40.0,1011.2,1009.9,nan,nan,18.0,21.2,No,0.4,No
2009-02-07,Witchcliffe,15.0,21.9,0.4,nan,nan,S,48.0,S,SSE,17.0,28.0,53.0,43.0,1015.8,1016.4,nan,nan,16.9,20.6,No,0.2,No
2009-02-08,Witchcliffe,9.8,25.4,0.2,nan,nan,SE,48.0,E,SSE,17.0,26.0,56.0,44.0,1022.4,1019.3,nan,nan,16.2,24.6,No,0.0,No
2009-02-09,Witchcliffe,12.0,30.8,0.0,nan,nan,ESE,37.0,ESE,ESE,17.0,17.0,65.0,30.0,1021.4,1018.2,nan,nan,17.4,29.7,No,0.0,No
2009-02-10,Witchcliffe,15.6,31.9,0.0,nan,nan,ENE,33.0,ENE,E,15.0,7.0,54.0,30.0,1018.9,1016.2,nan,nan,20.1,30.9,No,0.0,No
2009-02-11,Witchcliffe,11.9,35.8,0.0,nan,nan,N,44.0,ENE,NNW,11.0,20.0,43.0,20.0,1013.4,1010.5,nan,nan,24.4,35.2,No,0.0,No
