Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-03,Wollongong,nan,27.4,nan,nan,nan,SSE,70.0,nan,E,nan,19.0,nan,63.0,1007.8,1005.8,nan,nan,nan,23.9,nan,0.4,No
2008-12-04,Wollongong,15.7,21.5,0.4,nan,nan,NE,39.0,E,ENE,20.0,22.0,67.0,65.0,1020.3,1018.9,8.0,7.0,18.1,19.5,No,0.0,No
2008-12-05,Wollongong,18.0,27.7,0.0,nan,nan,ENE,41.0,NNE,NNE,22.0,19.0,79.0,75.0,1014.3,1009.2,8.0,nan,20.1,23.4,No,0.2,No
2008-12-06,Wollongong,18.6,32.5,0.2,nan,nan,SSE,44.0,SE,SSE,6.0,22.0,57.0,81.0,1006.0,1004.4,nan,4.0,27.6,21.2,No,0.6,No
2008-12-07,Wollongong,17.9,23.6,0.6,nan,nan,SSE,50.0,WNW,SSE,28.0,28.0,67.0,80.0,1007.2,1008.9,8.0,7.0,21.0,20.4,No,11.2,Yes
2008-12-08,Wollongong,15.3,21.9,11.2,nan,nan,ENE,54.0,S,ENE,11.0,37.0,79.0,77.0,1014.8,1011.9,8.0,8.0,18.7,20.4,Yes,3.0,Yes
2008-12-09,Wollongong,17.1,23.4,3.0,nan,nan,NE,57.0,ENE,NE,15.0,44.0,74.0,78.0,1010.2,1005.8,nan,4.0,21.4,22.9,Yes,0.0,No
2008-12-10,Wollongong,17.8,20.2,0.0,nan,nan,SSW,59.0,SSE,SSE,44.0,37.0,77.0,80.0,1008.6,1010.8,8.0,7.0,20.1,18.5,No,15.0,Yes
2008-12-11,Wollongong,15.6,18.5,15.0,nan,nan,E,33.0,E,E,13.0,20.0,93.0,72.0,1014.9,1015.9,8.0,8.0,16.5,17.9,Yes,3.4,Yes
2008-12-12,Wollongong,16.3,22.8,3.4,nan,nan,NNE,67.0,NNE,NE,28.0,24.0,89.0,94.0,1015.5,1010.0,8.0,8.0,17.1,17.5,Yes,48.4,Yes
2008-12-13,Wollongong,16.1,31.6,48.4,nan,nan,NW,91.0,N,W,22.0,30.0,84.0,30.0,994.0,990.7,nan,nan,22.5,31.2,Yes,0.0,No
2008-12-14,Wollongong,18.2,25.0,0.0,nan,nan,WNW,85.0,WSW,W,30.0,33.0,43.0,33.0,996.1,996.8,nan,3.0,20.5,24.6,No,0.6,No
2008-12-15,Wollongong,15.4,20.7,0.6,nan,nan,SSW,56.0,SSW,SSE,31.0,28.0,47.0,54.0,1007.0,1007.6,nan,nan,18.9,19.7,No,0.0,No
2008-12-16,Wollongong,14.8,23.1,0.0,nan,nan,ENE,39.0,NE,NNE,9.0,17.0,62.0,67.0,1012.5,1010.1,nan,nan,20.6,22.1,No,0.0,No
2008-12-17,Wollongong,16.3,23.1,0.0,nan,nan,S,50.0,ENE,SE,9.0,9.0,74.0,80.0,1011.7,1008.7,nan,7.0,20.6,20.9,No,0.0,No
2008-12-18,Wollongong,17.3,29.0,0.0,nan,nan,NW,67.0,E,NE,13.0,9.0,73.0,79.0,1004.5,1000.3,nan,nan,21.4,22.5,No,0.8,No
2008-12-19,Wollongong,14.8,23.8,0.8,nan,nan,S,56.0,SSE,SSE,9.0,33.0,52.0,61.0,1005.6,1008.2,nan,6.0,20.7,18.9,No,0.0,No
2008-12-20,Wollongong,14.1,19.0,0.0,nan,nan,SSE,56.0,S,SSE,26.0,30.0,58.0,73.0,1019.7,1020.0,3.0,8.0,17.1,17.1,No,0.0,No
2008-12-21,Wollongong,12.8,21.6,0.0,nan,nan,ENE,35.0,ESE,ENE,6.0,22.0,59.0,61.0,1022.1,1020.2,nan,nan,19.0,21.1,No,0.0,No
2008-12-22,Wollongong,16.4,22.9,0.0,nan,nan,NE,63.0,N,NE,31.0,52.0,63.0,67.0,1018.4,1014.2,nan,nan,20.6,21.7,No,0.0,No
2008-12-23,Wollongong,18.5,24.4,0.0,nan,nan,SSE,52.0,NNE,ESE,19.0,9.0,74.0,82.0,1008.5,1008.4,2.0,4.0,21.9,22.4,No,1.2,Yes
2008-12-24,Wollongong,17.8,19.5,1.2,nan,nan,S,43.0,SSE,SSE,20.0,11.0,78.0,92.0,1013.8,1013.2,8.0,8.0,18.9,17.8,Yes,0.2,No
2008-12-25,Wollongong,17.4,22.9,0.2,nan,nan,NE,24.0,NNE,NE,13.0,19.0,85.0,68.0,1014.5,1013.6,8.0,nan,19.0,22.4,No,0.0,No
2008-12-26,Wollongong,18.2,24.7,0.0,nan,nan,NE,48.0,NNE,NE,19.0,31.0,80.0,80.0,1013.4,1010.6,4.0,nan,21.8,23.6,No,0.0,No
